bodyx,bodyy,bodyz
-0.003787842,0.01507947,0.007596094
-0.00293286,0.01742908,0.007114837
-0.00292216,0.02060995,0.002876656
-0.004350634,0.02120643,-0.002162227
-0.003830876,0.021509,-0.0008998377
-0.001979321,0.01652203,4.886692e-05
0.001142953,0.009667207,0.0004573495
0.004873544,0.009448816,0.006743249
0.003052249,0.01155876,0.0111717
0.0001065282,0.01402705,0.009902931
0.001032696,0.01378929,0.006894947
0.0008539723,0.01440654,0.00162516
-0.0003233684,0.01802979,-0.002319341
-0.000567823,0.0188187,-0.001549001
-0.001040671,0.01972975,-0.004039714
-0.002175801,0.01909041,-0.006729751
-0.003053446,0.01795577,-0.003713281
0.000111585,0.01880829,-0.003012581
0.004859569,0.01801571,-0.002216698
0.003631871,0.01802788,-0.003416314
0.0001667688,0.01585971,-0.008015037
-0.0006554954,0.01164201,-0.003864927
-0.0006058003,0.01042345,-0.0009926515
0.000669562,0.01132837,-0.005112794
0.0001465543,0.01271947,-0.006475668
-0.002687585,0.0118695,-0.007869772
-0.003524504,0.01323702,-0.007986393
-0.003159419,0.01730022,-0.007401154
-0.002782967,0.01867665,-0.009280203
-0.003075212,0.01887913,-0.009073556
-0.003179939,0.0154363,-0.006908231
-0.002478965,0.01131002,-0.005270976
-0.002262024,0.01129286,-0.007864767
-0.001214565,0.008812249,-0.01078898
-0.001221061,0.005773179,-0.005876904
-0.002630746,0.009999672,-0.0008800845
-0.00485565,0.01717847,-0.001465276
-0.008994833,0.01832168,-0.002064956
-0.008637441,0.01178296,-0.001692638
-0.004611599,0.005400261,-0.0017614
-0.003682261,0.00725416,-0.001893167
-0.00441075,0.009671781,-0.002156126
-0.006861545,0.006369154,-0.00356916
-0.008866311,0.005389793,-0.004476278
-0.006678002,0.004251382,-0.001154546
-0.003360966,0.003018055,0.002334678
-0.001737645,0.007989959,0.000355473
-0.002284261,0.01025723,-0.001444825
-0.00331046,0.006633986,0.001661866
-0.004704826,0.006626045,0.006237023
-0.007241785,0.02014991,0.008161117
-0.007041193,0.03181411,0.002910858
-0.006382081,0.0137933,-0.003604497
-0.007628482,-0.005146427,-0.003694227
-0.004244963,0.003608635,-0.002875542
-0.0002475538,0.006535924,-0.0008615744
-0.001994569,-0.0006649557,-0.0004172693
-0.002552683,0.004066291,-0.004004414
-0.001167686,0.00460303,-0.001948445
-0.001917153,-0.0001112184,-0.0002498992
-0.001823325,0.0005534198,-0.002830461
-0.0012995,-0.002591096,-0.00752706
-0.001743629,-0.002683504,-0.01222501
-0.001935435,-0.0004967282,-0.0009029701
-0.003989166,-0.001937054,0.0117455
-0.005377012,0.0009906949,0.005994919
9.240392e-05,0.0006336799,0.002251443
0.006982096,6.946125e-05,0.00502132
0.006322374,0.003630827,0.003157219
0.00177184,0.004054746,0.002477656
-0.003143792,0.01353321,0.003161387
-0.008401007,0.02249712,0.00185943
-0.007262153,0.006938252,0.003103048
-0.004983078,-0.01069246,0.003998361
-0.009054321,-0.005750259,0.002853453
-0.009711859,-0.002372123,0.0004824538
-0.008240714,-0.009496573,-0.004071125
-0.008330488,-0.005910735,-0.000965658
-0.00315343,-0.002295301,0.005070681
0.001251469,-0.002352464,0.004113584
1.427589e-05,0.001890894,0.002827904
-0.001281413,-0.001373572,-0.001476135
-0.0008465458,-0.00330356,-0.005318819
-0.001384979,-0.002153687,-0.001717866
-0.002019769,-0.003346127,-1.095346e-05
7.08181e-05,0.0001346206,-0.002386685
0.0003272667,-0.002565268,-0.004588166
-0.000269706,-0.006033236,-0.005341244
0.0001016135,-0.003662482,-0.004457161
-0.002783191,-0.004912652,-0.001991322
-0.004566176,-0.002537819,0.001031307
-0.003925185,-0.0002099469,0.0007539421
-0.003488724,-0.002630521,-0.001488424
-0.003037738,-0.003435727,-0.002477398
-0.001307422,-0.004925247,-0.002177627
0.001803566,-0.005167031,-0.001510681
0.0008897401,-0.004825701,-0.00233838
-9.991394e-05,-0.005756339,-0.005711831
0.001504301,-0.004024833,-0.01023752
0.0005787962,-0.001607316,-0.009017645
0.0007615811,-0.0008038622,-0.002560374
0.001308885,-0.003390578,0.0006867633
0.0006546648,-0.008774248,0.001921913
0.0003865946,-0.009199078,0.002802665
-0.003403758,-0.003563831,0.003473559
-0.007247159,0.001062486,0.002997997
-0.006116076,0.00119962,-0.001884523
-0.00480955,-0.001562445,-0.003510691
-0.006071213,-0.002483861,-0.001047592
-0.005832879,-0.0006783148,-0.00158292
-0.005028459,0.0005785867,-0.001559061
-0.00577564,0.0007852403,0.0002309877
-0.004488207,-0.001827223,0.001677694
-0.002469295,-0.007111165,0.001971236
0.001081911,-0.009576897,0.00331108
0.006131665,-0.00599836,0.00603585
0.003970215,-0.0007432058,0.003013502
-0.002205507,9.641057e-05,-0.0004503302
-0.003995942,-0.0007116712,0.001606207
-0.0007793222,-0.001890938,0.001756582
0.003073317,-0.004198484,0.0003883317
-0.0004716404,-0.004444192,-0.0002153942
-0.004407377,-0.005112921,-0.001400319
-0.001192205,-0.004942342,0.0008175265
0.000252691,-0.002644881,0.003623549
0.00154881,-0.002380097,0.0001301684
0.00498719,-0.001931464,-0.002999051
0.004890678,-0.001983253,-0.0008706209
0.00491247,-0.004229482,-6.127126e-05
0.005282777,-0.006870927,-9.167789e-05
0.005489211,-0.007537633,0.001489037
0.006503565,-0.001502969,0.002369634
0.003644307,0.005142225,0.002567859
0.001168462,0.003534707,0.000264967
0.00271342,-0.0004991091,-0.002515588
0.00442855,-0.0008937127,-0.001423501
0.005114322,-9.522009e-05,-0.0007690395
0.003473157,0.002086302,-0.001983705
0.001588712,0.00444292,-0.00215852
0.002244744,0.002045918,-0.002826274
0.002826892,-3.808052e-05,-0.002928526
0.002122544,0.001238416,-0.001470611
0.002302487,0.0001522934,-0.001019988
0.002670288,-0.002449203,-0.000848103
0.002112726,-0.003394811,-0.00124916
0.00247046,-0.002589034,-0.00238447
0.002477237,-0.001586106,-0.001394105
0.002130287,-0.001429805,-0.0005734635
0.002397493,-0.00192842,-0.0007021299
0.001317889,-0.003003181,0.001237067
0.0008168341,-0.002452256,0.002080371
0.001834496,-0.001210936,0.001405064
0.002583459,-0.001037825,0.003279349
0.002236761,-0.0007880399,0.004953827
0.001032121,-0.001209499,0.002608846
0.000741879,-0.001847644,-0.004068317
0.0007343946,-0.001943822,-0.01053729
0.0002436009,-0.0003192121,-0.008691594
-0.001801189,0.003264331,-0.003798649
-0.004454345,0.003816298,-0.003219133
-0.002960914,0.001352958,0.0003280915
0.001058132,0.0002695203,0.004589913
0.004456829,0.000699377,0.002347084
0.005263018,0.0009801308,6.966752e-05
0.001639794,3.350638e-05,0.001795005
-0.0005380702,4.078313e-05,0.006846476
0.000174337,0.001715999,0.00984219
-0.002326234,0.003064283,0.004176454
-0.006195423,0.004799032,-0.003480165
-0.00554639,0.004955659,-0.006066898
-0.002774581,0.00253355,-0.002226235
-0.003554482,-4.922845e-05,0.00303586
-0.00457242,-0.003200005,0.001070928
-0.003177429,-0.0004845937,-0.0001189278
-0.003050279,0.01561995,0.003557027
-0.002554736,0.02732954,0.003187666
-0.002231446,0.01145224,0.003024695
-0.00394096,-0.009336051,0.006042857
-0.003390358,-0.006520762,0.007481463
-0.0003451019,-0.005481659,0.005746067
0.00249319,-0.01187695,0.0004252643
0.001448749,-0.003156493,-0.002559706
-0.003065654,0.001360015,-0.0008749191
-0.004135798,0.001066015,0.0009889005
-0.001553979,0.007020991,0.001891719
0.001109151,0.002900372,0.002839963
0.0006031138,0.001771875,0.007615247
-0.0005910096,0.004435961,0.01197275
0.002509701,0.0001244622,0.004807813
0.003340791,0.00029902,-0.006337221
0.00155701,-0.003995594,-0.006018067
0.001506761,-0.007501226,0.0005917367
0.0004351242,-0.004345054,0.004073102
-0.001809267,-0.006749817,0.005156597
-0.005130425,-0.005923539,0.004504432
-0.004840321,-0.004456842,0.006810627
-0.00277126,-0.003188938,0.008825922
-0.004812839,0.002425685,0.003824428
-0.004138784,0.001161628,0.0003381077
-0.003393932,-0.0008105786,-0.002716885
-0.004789757,3.604807e-05,-0.006936504
-0.003551865,-0.0007168177,-0.004699306
-0.004070676,0.0005258174,-0.002743766
-0.004299922,-2.12428e-05,-0.002205161
-0.003898123,-0.002626565,-0.0007092865
-0.006146739,-0.003830805,-0.00381583
-0.006913058,-0.003558552,-0.004804044
-0.005273703,-0.004220052,-0.00175676
-0.0008969266,-0.007962976,0.0005425526
0.003326935,-0.009343147,0.003620521
0.003550944,-0.006931813,0.001326539
0.002912502,-0.004402044,-0.002837255
0.003014343,-0.001107499,-0.0001842694
0.003347588,0.003902845,0.002226518
0.003153249,0.006935921,0.002811571
0.002196572,0.006173701,0.001406833
-0.0009948499,0.005814435,-0.002931728
-0.005021491,0.003089721,-0.004999954
-0.003232069,-0.001747409,-0.003680471
-0.0008037931,-0.001446139,0.000227694
-0.00241644,-0.0006926051,-0.000208603
-0.0004284667,-0.001619417,-0.002754304
0.002670457,-0.002101244,-0.0009836368
0.001902236,-0.004828987,-0.0001912752
0.0006871988,-0.00589475,0.003741394
-0.001176591,-0.002295878,0.006386629
-0.002770734,0.001904159,0.002106582
-0.002108082,0.001761713,-0.0006138828
-0.004340802,9.552834e-05,-0.002021192
-0.01279761,0.001201782,0.0006385179
-0.01992538,-0.0005168798,0.002358851
-0.01617099,-0.002749694,-0.0007435059
-0.005606703,-0.0005989885,0.001866353
0.002104436,0.002077731,0.002916179
0.004245688,0.004060113,0.001030466
0.00249582,0.0004955422,0.003281535
0.005297587,-0.006321355,0.005377891
0.009772829,-0.006499262,0.008361924
0.005131674,-0.004696115,0.008361684
0.002214094,-0.004194434,0.006220331
0.004602065,-0.001999,0.007613975
0.003099072,-0.0007661866,0.004739299
0.002168486,-9.18271e-05,0.0009364529
0.002849593,0.0002572245,0.002672191
0.002235358,-0.001312762,0.005572059
-0.0002277992,-0.001730838,0.007840385
-0.004111923,-0.001188582,0.004673736
