bodyx,bodyy,bodyz
-0.4391435,-0.06058221,-0.01036516
-0.4245656,-0.06632114,0.08384537
-0.3649348,-0.0855043,0.1739779
-0.2724579,-0.1309764,0.1841384
-0.1458572,-0.1467119,0.1677606
-0.1100048,-0.109704,0.1574752
-0.1439105,-0.04015433,0.1849943
-0.1523608,0.03513815,0.2163625
-0.1510347,0.06057269,0.2381504
-0.1182082,0.0145129,0.2070724
0.03116589,-0.01459823,0.1217602
0.2930909,0.02716919,0.05735338
0.5229536,0.06859757,-0.06731731
0.6043407,0.0847188,-0.1502375
0.5777497,0.1060234,-0.08418021
0.3997907,0.06940405,-0.01581284
0.1192221,-0.07796276,0.05661447
0.1024052,-0.2534308,0.02246862
0.1956469,-0.3893926,-0.1947204
0.06668994,-0.5088565,-0.3253216
0.01825215,-0.4862813,-0.2630339
-0.05799093,-0.2279779,-0.09157495
-0.3416172,0.008288239,0.0912663
-0.3965931,0.05594783,0.2340022
-0.2502115,-0.04491744,0.2868627
-0.1257445,-0.1508105,0.1214054
-0.01594739,-0.06983201,-0.1476794
-0.0187757,0.05501185,-0.2915507
-0.1143177,0.1760923,-0.2371169
-0.2163418,0.2707716,-0.06868746
-0.2374441,0.151515,0.06517868
-0.1917054,0.07747739,0.1271826
-0.1542085,0.09653229,0.07213486
-0.07037596,0.08442958,0.006662921
-0.02403215,0.1689932,0.01675158
-0.06429889,0.1818229,0.02366245
-0.05869694,0.1280542,0.1372694
0.01606956,0.1010295,0.2331387
0.1282218,0.05661128,0.1736262
0.2292364,0.09201023,0.1008226
0.2365751,0.1045421,0.03534799
0.18438,0.09007769,0.1041206
0.1506778,0.1133326,0.2375728
0.1433785,0.07883564,0.2061948
0.1999699,-0.008413491,0.02678628
0.2685327,-0.13902,-0.3405679
0.2374891,-0.1659139,-0.5977845
0.1945766,-0.07040034,-0.4170053
0.18934,-0.03414785,-0.250112
0.1746029,-0.001576899,-0.3166376
0.1806578,0.01732055,-0.2332099
0.1642677,-0.002162212,-0.1066651
0.09019654,-0.00830333,-0.1420326
-0.03359351,-0.04520502,-0.1236209
-0.2243911,-0.02081278,-0.07147234
-0.369143,0.02960778,-0.02651829
-0.3989428,-0.005752623,0.05234677
-0.4036897,-0.006982068,0.105282
-0.3952317,-0.005392052,0.1898555
-0.3216555,-0.05895366,0.2062663
-0.2027115,-0.08062956,0.150075
-0.1315975,-0.07558654,0.1410407
-0.1395023,-0.04070243,0.1097232
-0.1503005,0.02214193,0.1412149
-0.1475981,0.08802179,0.2145034
-0.1334511,0.1383509,0.2200298
-0.02544455,0.1289341,0.2108612
0.2361355,0.09665574,0.1407053
0.5565235,0.07417688,0.019733
0.6651627,0.0702209,-0.04365392
0.4349359,0.08512687,0.05990712
0.1321334,0.04174728,0.217868
0.03065802,-0.1380815,0.1479421
0.09107908,-0.4404472,-0.1238005
0.1993381,-0.5625334,-0.457892
0.26629,-0.3103967,-0.5855429
0.1393935,-0.03782931,-0.3703755
-0.1550549,0.02612985,-0.1138362
-0.3555849,-0.02119357,0.208004
-0.3400181,-0.09562528,0.4606471
-0.2282267,-0.09346824,0.2922261
-0.1757848,-0.01534626,0.007237394
-0.2108052,0.08630567,-0.2112855
-0.230586,0.1266376,-0.2344667
-0.1908241,0.07871719,-0.0388836
-0.1310633,0.08455367,-0.04462524
-0.04016792,0.08661684,-0.03406999
0.03762346,0.08123145,0.01877475
0.02435061,0.1557192,-0.1074825
-0.01017965,0.1714467,-0.05218498
-0.06209904,0.1662875,0.02748742
-0.1641759,0.1872682,0.07919697
-0.1517144,0.160157,0.1844437
-0.02635951,0.1064183,0.1002616
0.09102918,0.03955852,0.1053128
0.203502,0.05254415,0.1160056
0.2238315,0.08737532,-0.02283648
0.2223462,0.05437752,-0.04590849
0.2376472,0.07026241,0.007143702
0.1213242,0.08661225,0.1594486
0.05255474,0.06700541,0.244952
0.09020761,0.03503562,0.1648252
0.1597837,-0.02410258,0.007741877
0.2736628,0.002512429,-0.3214654
0.174851,0.03995549,-0.464104
0.02785158,-0.02545031,-0.3514808
0.1021257,-0.08492642,-0.3255835
0.1522109,-0.1190174,-0.2555215
0.1786041,-0.1095333,-0.1165129
0.1631297,-0.03621827,-0.06846157
0.002475726,0.02342553,-0.07899521
-0.1447604,0.06264422,-0.06801461
-0.2503546,0.05454318,-0.03568921
-0.2788161,0.02512324,-0.001706838
-0.2687014,0.03056186,0.06066395
-0.302727,0.00443868,0.1068962
-0.2531179,-0.03456842,0.1139382
-0.1859781,-0.07300903,0.113192
-0.1711029,-0.09963034,0.1174112
-0.145198,-0.06868706,0.1340072
-0.1519809,-0.06293131,0.1517972
-0.1625797,-0.04092146,0.1931955
-0.1672221,0.02630632,0.2439311
-0.1648209,0.0394813,0.2602194
-0.1154239,0.03190068,0.2203764
-0.05525442,0.02316144,0.1536364
0.0783704,0.03136203,0.1301988
0.3190937,0.04957565,0.07402828
0.5119982,0.05057097,0.01342699
0.5237719,0.1180682,0.1004642
0.3566022,0.1694137,0.2327903
0.1502503,0.04458104,0.2601672
0.1076766,-0.2635625,0.008525763
0.1939947,-0.6109448,-0.4470299
0.1776652,-0.6803247,-0.5498225
0.08105626,-0.3787791,-0.3018094
-0.06648536,-0.05367885,-0.1418192
-0.3126525,0.04943817,0.02694744
-0.4250516,0.04598433,0.2587159
-0.3084307,-0.05594842,0.2589707
-0.1148896,-0.208925,0.02172846
-0.007210338,-0.1175643,-0.1591207
-0.09773532,0.07907475,-0.1782188
-0.2158916,0.1565021,-0.1203275
-0.1985961,0.2081195,-0.04086991
-0.1378023,0.1402844,0.02159062
-0.07651399,0.05659655,0.06483554
0.003494701,0.1045286,0.03469511
0.01842564,0.139681,-0.010198
-0.04661485,0.2172488,0.04366949
-0.127736,0.2574717,0.09164892
-0.2178468,0.1723517,0.1658744
