bodyx,bodyy,bodyz
-0.1065022,3.034457e-05,-0.06842861
-0.2929201,0.0564627,0.03287922
-0.3530231,0.119675,0.08917034
-0.1925414,0.2170233,0.07792509
-0.09283198,0.1833634,-0.01706141
-0.04099746,0.02441703,-0.1158329
-0.09617768,-0.1927041,-0.08440426
-0.1020038,-0.3110646,-0.005602632
0.06346076,-0.2285252,0.1139541
0.2082323,-0.1780679,0.219413
0.3776836,-0.1169069,0.1933608
0.6904726,0.1297044,0.198547
1.034549,0.3039103,0.2500957
0.8182947,0.09756669,0.1159059
0.3574875,-0.2120649,-0.01340093
0.4023455,-0.1764922,0.1443059
0.1730388,-0.06131255,0.2804853
-0.2308892,0.01791306,0.2026319
-0.1607748,0.2743665,0.137408
-0.2539602,0.2857482,0.09626121
-0.3096751,0.07343181,0.06586746
-0.2223684,-0.019678,0.105979
-0.3638363,-0.169405,0.1117951
-0.3569077,-0.1617436,0.0943196
-0.3729228,-0.01643674,0.1170517
-0.4296191,-0.008350928,0.12651
-0.3520932,0.06492229,0.1482382
-0.393299,0.1008293,0.1701178
-0.3293784,0.1135172,0.143334
-0.2427532,0.2144247,0.1307444
-0.265594,0.1703183,0.1174902
-0.1452372,0.07638696,0.04851755
0.001184487,0.01900462,-0.04403808
0.04800816,0.01141313,-0.07984715
-0.01885265,0.0893402,-0.02975667
-0.1050058,0.1063648,0.03055703
-0.1667867,0.1142946,0.08281958
-0.2308996,0.0858851,0.07625735
-0.2026691,-0.01867936,-0.0114568
-0.06959907,-0.1163531,-0.09304789
0.3988451,-0.3317101,-0.256255
0.9470503,-0.5251109,-0.4327779
0.9537142,-0.4823575,-0.4292315
0.7896228,-0.3394157,-0.3418765
0.7074765,-0.1242633,-0.1522398
0.3910559,0.1960288,0.1515031
0.1029851,0.4645624,0.2739251
0.1113327,0.582266,0.1511168
0.1844267,0.5431339,0.001470395
0.2159567,0.2698303,-0.1943361
0.1996762,-0.07785896,-0.3896547
0.07330125,-0.2059705,-0.2713284
-0.08812171,-0.2499581,-0.06445067
-0.2105441,-0.2897984,-0.06117268
-0.2251557,-0.1377907,-0.04399232
-0.2210458,0.04543416,-0.05852453
-0.2975294,0.1001315,-0.0932773
-0.2898648,0.1183038,-0.05727514
-0.2989059,0.0893899,-0.09384555
-0.3359017,0.06470513,-0.08434755
-0.2795062,0.07119632,-0.05927098
-0.2622862,0.06038568,-0.07296937
-0.1590781,0.07669534,-0.02586888
-0.07974129,0.0591801,-0.04115696
-0.2185429,0.01193738,-0.03426138
-0.3098952,-0.007862816,0.01621836
-0.2783118,-0.02585647,-0.001891494
-0.09350493,-0.03086504,-0.01721139
0.2078821,-0.129873,-0.04973471
0.341204,-0.2703741,-0.03382599
0.2981484,-0.2623009,0.04531484
0.325561,-0.179075,0.07859211
0.483364,-0.05338435,0.06503128
0.6166023,0.1146874,0.04672205
0.6998805,0.1495505,0.1471418
0.6650252,0.05409794,0.2485302
0.4960543,0.04350946,0.1798419
0.3963466,0.1182646,0.1006348
0.295356,0.1545326,0.06996928
0.1162316,0.142245,0.07249452
