bodyx,bodyy,bodyz
-0.3971438,0.06950605,-0.07163059
-0.4220466,0.05120203,-0.05402664
-0.4394121,-0.02499595,-0.01556351
-0.4059346,-0.09115565,0.01972876
-0.3664129,-0.1237078,0.05820348
-0.3077175,-0.09063709,0.1189488
-0.1947963,-0.03655564,0.1736586
-0.1336401,0.005791451,0.1930062
-0.03435399,0.03688116,0.2520249
0.1068137,0.03259941,0.3445727
0.1906563,0.03497009,0.3024674
0.4011218,-0.01871585,0.1625942
0.64573,-0.108794,0.1026171
0.5726308,-0.1813049,0.1638946
0.4268615,-0.3081568,0.2302554
0.3334141,-0.328021,0.1052213
-0.02005285,-0.2523404,-0.09342486
-0.2161112,-0.2720791,-0.1325589
-0.1165056,-0.2464934,-0.1125792
-0.1106682,-0.1725485,-0.112245
0.02280342,-0.1504908,-0.1284652
0.07664785,-0.1016615,-0.1559253
-0.07884507,-0.02355128,-0.1522613
-0.1276774,0.07913819,-0.1600696
-0.253679,0.1284872,-0.1570805
-0.2691604,0.06841305,-0.1604939
-0.1519956,0.02702429,-0.1861497
-0.1711672,-0.001198131,-0.1680032
-0.1337992,-0.008600101,-0.1698981
-0.162991,0.04949535,-0.1789859
-0.2253779,0.06597254,-0.170947
-0.1861303,0.07121959,-0.1839888
-0.2029812,0.09450459,-0.1853855
-0.1521314,0.1073103,-0.2035552
-0.04828792,0.1716982,-0.2303785
0.03806293,0.2162632,-0.2339628
0.1285814,0.199201,-0.2008889
0.1966543,0.1959236,-0.1334059
0.2929521,0.2061016,-0.1114687
0.3364253,0.1891377,-0.1176069
0.4362809,0.09726133,-0.1479264
0.626265,-0.07149299,-0.2547062
0.6572079,-0.234847,-0.3281948
0.5846317,-0.2697211,-0.2760754
0.4018843,-0.1979272,-0.2121834
0.1319814,-0.1571947,-0.2299482
0.059918,-0.1344247,-0.2347788
0.09533196,-0.0714386,-0.2101277
0.04450147,0.02510382,-0.1995441
0.02927251,0.09973432,-0.1547386
0.06434435,0.1043141,-0.141263
0.04186848,0.09446297,-0.1616506
0.01290748,0.06246946,-0.1303072
-0.07286553,-0.07601647,-0.07936547
