bodyx,bodyy,bodyz
0.1039188,-0.00463194,-0.1851312
0.1486892,-0.01565419,-0.1675604
0.2005037,-0.03209697,-0.1593034
0.2241934,-0.0333425,-0.1622162
0.2714127,-0.03999915,-0.1576856
0.2919032,-0.0407366,-0.1531487
0.2592242,-0.01692093,-0.1611776
0.2371967,0.01152158,-0.1697528
0.2205859,0.02475929,-0.173549
0.2555407,0.01118529,-0.1709117
0.3336009,-0.01175077,-0.1547864
0.3937458,-0.03534429,-0.131124
0.4451133,-0.06110122,-0.1203036
0.467784,-0.05992393,-0.1205844
0.4526951,-0.04583561,-0.1211969
0.4015819,-0.04391143,-0.1330063
0.3161038,-0.03320235,-0.1464202
0.2429692,-0.0132837,-0.1536083
0.2060825,0.0003082131,-0.1610031
0.1989366,-0.00752426,-0.151469
0.2189675,-0.03153855,-0.1302971
0.2362457,-0.04352168,-0.1145788
0.2073618,-0.03922844,-0.1125034
0.1562092,-0.01620532,-0.1337147
0.1250649,0.005235266,-0.149295
0.1085107,0.005780201,-0.1452994
0.09906989,0.0102615,-0.1452352
0.1078906,0.006470284,-0.1444496
0.1433763,-0.007927707,-0.1369838
0.1579863,-0.003980607,-0.1354422
0.1474606,-0.003094955,-0.135598
0.1664786,-0.01105448,-0.1281605
0.1770691,-0.007436095,-0.1231993
0.1671295,-0.006457241,-0.1225432
0.1641884,-0.01135085,-0.1175628
0.1581345,-0.01128706,-0.1112289
0.1690545,-0.01622031,-0.1040193
0.1766824,-0.01938335,-0.1017017
0.157321,-0.01237342,-0.1043089
0.1429126,-0.01047283,-0.10456
0.1480065,-0.01243771,-0.1078279
0.1547426,-0.01578326,-0.1049157
0.1475421,-0.01993576,-0.0964376
0.1492152,-0.01561555,-0.09557065
0.152184,-0.01010155,-0.09423644
0.1419722,-0.007134205,-0.09522834
0.1312695,-0.0007506434,-0.09961498
0.1067129,0.006891547,-0.0983757
0.09689405,0.008933267,-0.09723176
0.106437,0.007926517,-0.09765122
0.09909124,0.00925617,-0.09705479
0.09788307,0.004193053,-0.09114689
0.1023645,-0.001009183,-0.08220374
0.1021633,0.001398645,-0.08174898
0.1085561,-0.00233335,-0.08057653
0.1098105,-0.008453546,-0.07584794
0.1084831,-0.008048387,-0.07628464
0.110534,-0.006392975,-0.07564533
0.1138325,-0.004743303,-0.07675736
0.1142227,-0.001434579,-0.0783103
0.1092884,0.002314198,-0.07837253
0.1108567,0.002621941,-0.08332322
0.1161851,-0.001183332,-0.07751393
0.1207654,-0.006299848,-0.06761249
0.1220018,-0.007201103,-0.07082579
0.1165437,-0.003796736,-0.06908152
0.1184023,-0.003687303,-0.06345047
0.1219176,-0.004042484,-0.06037875
0.1174111,-0.002415935,-0.05577617
0.1061536,0.0003454369,-0.06311272
0.08838526,0.004713861,-0.07169743
0.08354062,0.004224959,-0.06685055
0.08433661,0.004690266,-0.06380119
0.07906937,0.008429113,-0.06364153
0.08703314,0.003634933,-0.05790795
0.092389,-0.003087531,-0.0522135
0.07980582,-0.001118065,-0.05075917
0.06062272,0.00958919,-0.05316198
0.04275612,0.02001031,-0.05661303
0.04222945,0.01517114,-0.05353509
0.04617422,0.007128446,-0.04816706
0.03920245,0.009050223,-0.04800713
0.03821715,0.005499706,-0.04735201
0.03706729,0.001600313,-0.04707385
0.03257037,0.006570892,-0.04655426
0.03420312,0.007050667,-0.04394865
0.03034297,0.009729196,-0.04592113
0.02297934,0.01888102,-0.04682401
0.02100905,0.02002274,-0.04515358
0.0271076,0.01268178,-0.04466721
0.03617116,0.007159939,-0.0421479
0.02850955,0.01353294,-0.04132517
0.02123567,0.01985552,-0.04171258
0.03251346,0.01155706,-0.04038687
0.03774687,0.004905069,-0.03636154
0.03476091,0.005794249,-0.03099153
0.03227845,0.006364782,-0.03164404
0.02730292,0.00890648,-0.03311595
0.02257993,0.01210132,-0.03049126
0.01872024,0.0133661,-0.02886656
0.02444482,0.009682693,-0.02805157
0.03298285,0.004867287,-0.02811429
0.02854699,0.007862653,-0.02879485
0.02437474,0.01064966,-0.02931272
0.02254552,0.009631799,-0.02895248
0.01428509,0.01172995,-0.02699429
0.0118151,0.01372314,-0.02787182
0.01509588,0.01607535,-0.03134526
0.01480712,0.01817662,-0.03364517
0.01834352,0.01415655,-0.03091659
0.02429464,0.009373733,-0.02424704
0.02698682,0.004566436,-0.02233881
0.02941079,-0.00116628,-0.01945924
0.02629679,0.001081451,-0.01365657
0.02336995,0.004652019,-0.01490777
0.02820009,0.001101837,-0.01569973
0.03455295,-0.0002567302,-0.01294812
0.04449982,-0.002037365,-0.0110152
0.05304189,-0.0101532,-0.005204227
0.05649302,-0.01351917,-0.0001904612
0.06183219,-0.01237913,-0.001273752
0.06897712,-0.01762728,-0.002063288
0.0760579,-0.02396622,-0.0003906331
0.0696263,-0.02117516,-0.001732641
0.05617996,-0.01488203,-0.004355761
0.0575267,-0.01313987,-0.003599297
0.05397199,-0.01136702,-0.003824671
0.0357326,-0.004896994,-0.007970048
0.01244834,0.00988709,-0.01587784
-0.01594318,0.03087347,-0.0277046
-0.03322265,0.04541229,-0.036353
-0.03900935,0.04786072,-0.0292225
-0.03519929,0.03782335,-0.01477153
-0.01261231,0.02144215,-0.01346383
0.009886732,0.006387516,-0.01228119
0.02295061,-0.005009782,-0.005708762
0.03539741,-0.009309974,-0.005984638
0.05040977,-0.01208254,-0.00178074
0.05206683,-0.009107812,0.0009664222
0.02666073,0.0007087828,-0.001070613
0.0001110226,0.006022783,0.001428737
-0.00938781,0.01187314,0.0004739173
0.005405427,0.002968902,0.006254017
0.02454885,-0.0120962,0.01216415
0.01400221,0.007020242,0.004376125
0.005178873,0.02773155,-0.0009167316
0.004490681,0.02571602,-0.005415353
-0.006530131,0.03371176,-0.01196721
-0.02368002,0.05614385,-0.01933009
-0.06010024,0.08845927,-0.03142801
-0.07582915,0.1176353,-0.03957499
-0.05507135,0.1135843,-0.0382803
-0.03945023,0.07751665,-0.0263045
-0.02306942,0.0410096,-0.01074451
-0.0178773,0.03334719,-0.002472217
-0.008168762,0.03604225,-0.0006188982
0.0518638,0.01301119,0.006311139
0.09884246,-0.006544878,0.01728358
0.07704709,0.006763302,0.01163795
0.02801143,0.02434523,-0.005675083
-0.01260313,0.03667976,-0.01868602
-0.03661659,0.05524305,-0.02285215
-0.06251391,0.07588385,-0.01854635
-0.1332081,0.1018331,-0.02331275
-0.2209917,0.1248851,-0.03269567
-0.2603127,0.1231225,-0.03432747
-0.2634598,0.1068005,-0.03202806
-0.2361404,0.08861858,-0.0173249
-0.1701314,0.06059761,-0.0006175853
-0.1030789,0.03031954,0.006173998
-0.04430069,0.00175411,0.0115429
-0.002802814,-0.01622618,0.01256604
0.01761424,-0.007794041,0.01191061
0.03473748,-0.005124817,0.01604829
0.03666188,-0.01676509,0.02067215
0.03388108,-0.01388753,0.02010035
0.03056269,-0.008394662,0.01571093
0.01464573,-0.004422086,0.01363876
0.005165057,-0.002541488,0.0133319
0.005655412,-0.007284929,0.01392338
0.008105717,-0.003626743,0.01201873
0.01011954,-0.00386501,0.01052542
0.01625777,-0.008325267,0.01418277
0.02663736,-0.008796167,0.01615476
0.02969328,-0.01526226,0.02177357
0.02819186,-0.01566464,0.02596796
0.02045495,-0.01461255,0.01918615
0.007671759,-0.01495427,0.01565679
-0.003395349,-0.006280715,0.01514211
-0.0139665,-0.002608858,0.01390537
-0.01763317,-0.004165691,0.01611968
-0.01695135,-0.005499955,0.01689402
-0.01623273,-0.00398269,0.01653102
-0.014775,0.0001253989,0.01617176
-0.01414934,-0.0002839289,0.01662284
-0.01195184,0.00218364,0.01731184
-0.01265873,0.002133615,0.01473958
-0.01706833,-0.0004034635,0.01215918
-0.01996316,0.003092057,0.01230893
-0.01639245,0.001136016,0.01486783
-0.002557714,-0.005552512,0.01640657
0.01370513,-0.01324084,0.01713858
0.02306383,-0.01785522,0.01950683
0.0231739,-0.01381589,0.01944736
0.02055904,-0.009035587,0.01994883
0.01918869,-0.00511646,0.02100767
0.01761033,-0.005807407,0.01810827
0.0195769,-0.01039365,0.0182724
0.02101122,-0.01170682,0.02196626
0.02348942,-0.01450141,0.02427851
0.0295544,-0.0173543,0.02740411
0.02766475,-0.01711286,0.03046491
0.02456675,-0.01639503,0.03197806
0.02598698,-0.01809259,0.03276732
0.02287908,-0.0235131,0.03088106
0.02032648,-0.02681545,0.02822573
0.01970474,-0.02540252,0.0287576
0.01709292,-0.02096733,0.02880977
0.01445373,-0.01703535,0.02662865
0.01017815,-0.01558364,0.02613084
0.00884818,-0.01428592,0.02514717
0.01203085,-0.01566502,0.02213422
0.01543467,-0.01761096,0.02264726
0.02632443,-0.01672877,0.02400571
0.03536407,-0.01728691,0.02160363
0.02110438,-0.01782358,0.02108042
0.002759304,-0.01379648,0.02094649
0.002705573,-0.006364874,0.01756241
-0.0005824488,-0.001959092,0.01547214
-0.01077042,-0.002597638,0.01529124
-0.01000082,-0.001549857,0.01602559
-0.01371464,-0.0001505695,0.01649362
-0.02146527,-0.003490354,0.01682962
-0.01574773,-0.003795531,0.01845427
-0.01332852,-0.0001318792,0.01908768
-0.01645995,-0.0003337155,0.01940838
-0.01508578,0.001349897,0.01965489
-0.01745759,0.003027389,0.01888723
-0.01884085,-5.777544e-05,0.01898384
-0.01732132,0.000905444,0.01894929
-0.01790044,0.001793585,0.01785785
-0.01675513,0.002154195,0.01843527
-0.01559401,0.003361948,0.01985672
-0.01364197,-0.002561713,0.0190492
-0.01026572,-0.005641423,0.01911862
-0.008706721,-0.004450532,0.01981407
-0.006111244,-0.005049704,0.01888366
-0.005993576,-0.003115295,0.0184383
-0.01197732,-0.001772474,0.01637835
-0.01586003,-0.0005558086,0.01502537
-0.01801517,-0.0007478238,0.01699855
-0.02300454,-0.002019453,0.01710573
-0.02241163,6.682713e-05,0.01481738
-0.01949512,0.0008649021,0.01438371
-0.02235299,0.002642021,0.01684895
-0.02302889,0.00308763,0.01806261
-0.02396773,-0.0003002625,0.0160307
-0.02683435,0.001274875,0.0128004
-0.02415928,0.00524672,0.01166865
-0.01835393,0.007423707,0.01409114
-0.009785435,0.005732235,0.01766649
-0.005793172,0.001611983,0.0198036
-0.00809823,0.001724857,0.01718647
-0.003792503,-4.152471e-05,0.01547329
-0.0004144797,-0.00434247,0.01693918
-0.002705923,-0.00553675,0.01402567
-0.002837262,-0.005654891,0.01393994
-0.00424247,-0.003019769,0.01726459
-0.008191794,-0.001205051,0.0174714
-0.01242881,-0.002019447,0.01890597
-0.01501952,-0.0008914769,0.01829769
-0.01924473,-0.0001927785,0.01619955
-0.02746443,0.001725005,0.01470361
-0.02988283,0.003338216,0.0126303
-0.0290363,0.001150546,0.01454249
-0.03116292,7.777264e-05,0.01631202
-0.03084655,-0.002058843,0.01874383
-0.02912592,-0.005154066,0.02307518
-0.02517367,-0.005158321,0.02262811
-0.0189906,-0.004433893,0.02064135
