bodyx,bodyy,bodyz
0.01410164,-0.08758497,0.1375094
0.009915613,-0.09081975,0.1301386
0.008455863,-0.09087998,0.1301953
0.004682851,-0.1020429,0.1324739
0.004037628,-0.1010174,0.1268
0.004823606,-0.09224583,0.1278577
0.00368932,-0.09125215,0.1228405
-0.001188246,-0.08906318,0.1160854
-0.01217548,-0.09636428,0.119276
-0.01969027,-0.1093701,0.1191123
-0.03035962,-0.1147994,0.1148414
-0.04413868,-0.1074814,0.1036809
-0.04352678,-0.09477699,0.09221497
-0.03882468,-0.09267851,0.09772801
-0.03682536,-0.08846977,0.1098555
-0.03048655,-0.08768636,0.1175772
-0.02977185,-0.0926116,0.1217234
-0.02766143,-0.08249601,0.1180611
-0.0139026,-0.0767218,0.1122655
-0.006160333,-0.07992608,0.1126608
-0.004609091,-0.07815254,0.1164209
-0.004736974,-0.07771777,0.1245157
-0.009853692,-0.078762,0.1303997
-0.006691826,-0.08591751,0.1268318
-0.003008236,-0.09595945,0.1213702
-0.004004789,-0.0956588,0.1140944
0.002436143,-0.08290854,0.1103627
0.00637382,-0.06787647,0.1097952
0.007440571,-0.06681048,0.1035562
0.001485636,-0.07403545,0.1041163
-0.01631657,-0.07939105,0.1061488
-0.02235339,-0.08919116,0.1008812
-0.02330906,-0.09374607,0.09740385
-0.03570724,-0.06306851,0.09338191
-0.0509425,-0.007821068,0.09736133
-0.05568767,-0.009661976,0.10491
-0.02884343,-0.1089076,0.0996708
-0.003063694,-0.1855119,0.09768681
-0.02783961,-0.09957621,0.1018588
-0.05305012,0.03506385,0.09923009
-0.04431465,0.03637954,0.09250954
-0.04583973,-0.02638049,0.08522513
-0.03789508,-0.07658221,0.08473994
-0.001754089,-0.1075847,0.08707906
0.007100614,-0.08136428,0.083219
-0.002882518,-0.06288591,0.08411035
-0.001839306,-0.05151144,0.08803465
-0.005834384,-0.02284364,0.08953519
-0.00305822,-0.04104232,0.09718388
0.008285708,-0.05328728,0.1032792
0.01371398,-0.05747254,0.1001589
0.01520475,-0.08214894,0.09512057
0.01129679,-0.0748875,0.0928074
0.007474162,-0.07310727,0.09094199
0.003055494,-0.07903474,0.0893951
-0.0002429148,-0.0784403,0.0919995
0.0002165974,-0.09543371,0.09198413
-0.005016939,-0.09315709,0.08797989
-0.009636232,-0.07287931,0.08580372
-0.01450294,-0.05446492,0.08349751
-0.01657606,-0.04999396,0.08611469
-0.006420924,-0.06352333,0.09191722
-0.001357025,-0.06369183,0.09303461
-0.0005265881,-0.06296968,0.09232556
0.006289223,-0.06713786,0.09160285
0.01218615,-0.06546301,0.09085204
0.01351911,-0.07145088,0.08894029
0.01007535,-0.07457418,0.08676484
0.01025044,-0.07353182,0.08575408
0.01298873,-0.07565956,0.08487722
0.01457171,-0.0778856,0.08533245
0.01681371,-0.07873987,0.08496439
0.0113247,-0.07252703,0.08362818
0.005182976,-0.06655102,0.0807138
0.00401306,-0.06360634,0.07373679
0.0008805801,-0.06167777,0.06885035
-0.0006910661,-0.06188919,0.06695118
-0.0001559847,-0.05982859,0.06586094
-8.923955e-05,-0.06085592,0.06951066
-0.002756521,-0.06047032,0.07264718
-0.007065435,-0.05108276,0.07013837
-0.00849839,-0.04539264,0.06833572
-0.006211806,-0.04882229,0.06809618
-0.001973445,-0.05429938,0.0658341
-0.001310477,-0.05993813,0.06410461
-0.000630031,-0.06037611,0.06326357
0.001758816,-0.05315955,0.06199169
0.0006135374,-0.0517175,0.06151301
-0.0009330232,-0.05088873,0.05963631
-0.00275909,-0.04604567,0.05706066
-0.0002869505,-0.05050267,0.05633882
0.004619097,-0.05162046,0.05458174
0.001177898,-0.04789011,0.05294601
-0.001543022,-0.04755586,0.05077436
-0.001091553,-0.04168156,0.04584042
-0.002502268,-0.03906557,0.04455877
-0.002324525,-0.04000997,0.04525698
-0.004760647,-0.03846735,0.04370004
-0.008440795,-0.03788419,0.04278288
-0.009997252,-0.03295413,0.04079417
-0.009585751,-0.02649406,0.03905081
-0.005679591,-0.02158524,0.03767376
-0.005284179,-0.01699217,0.034651
-0.008288905,-0.01335002,0.03341416
-0.00949639,-0.007636617,0.03076137
-0.009894942,-0.002217108,0.02835646
-0.00987291,-0.003636482,0.03084511
-0.01159564,-0.01231436,0.03145847
-0.01100446,-0.01630317,0.03267888
-0.009175364,-0.01070336,0.03546864
-0.01245288,-0.006874906,0.03181102
-0.0135411,-0.01157883,0.02965038
-0.01129935,-0.02092621,0.03249812
-0.009271873,-0.02504888,0.03331265
-0.007641725,-0.02186952,0.03362005
-0.009416123,-0.01819297,0.03325697
-0.01082352,-0.01812074,0.03456476
-0.01067992,-0.01816461,0.03755101
-0.01118031,-0.01421692,0.03495454
-0.01221417,-0.01281195,0.03048448
-0.01445755,-0.0151868,0.02791663
-0.01339039,-0.0173194,0.0268524
-0.008786044,-0.01739792,0.02719844
-0.006765163,-0.01387798,0.02482931
-0.00905059,-0.01361585,0.0234591
-0.01096519,-0.01803366,0.02537907
-0.008185284,-0.02074073,0.02536822
-0.006308348,-0.01494526,0.02586296
-0.008120521,-0.006479998,0.02612005
-0.009739875,-0.009457654,0.02226239
-0.01135159,-0.01274992,0.02099021
-0.0110742,-0.01227197,0.02353628
-0.009015544,-0.01664341,0.02490202
-0.008663951,-0.01704734,0.02492936
-0.008119761,-0.01571816,0.02081045
-0.00696089,-0.0163712,0.01776142
-0.005831254,-0.01523931,0.01838577
-0.004092255,-0.0151572,0.01341261
-0.004364657,-0.0143617,0.0123284
-0.006351137,-0.01392469,0.01671584
-0.008629442,-0.01331325,0.01582241
-0.01262085,-0.009959778,0.01601784
-0.01693659,-0.007735471,0.00966945
-0.02203209,-0.0006763724,-0.003222649
-0.0313852,0.02372285,-0.009525781
-0.03997383,0.04599252,-0.01840087
-0.03840254,0.02420716,-0.02722877
-0.0316185,-0.004184457,-0.02729059
-0.02966353,0.01458477,-0.02797215
-0.02861877,0.02293603,-0.03354565
-0.02624988,0.007267086,-0.03413856
-0.02607577,0.01684536,-0.03014635
-0.02564943,0.03151016,-0.02999828
-0.02155992,0.03952429,-0.02256679
-0.01169806,0.02694746,-0.01209792
-0.004450801,-0.00322067,-0.007120124
-0.007454165,0.001814749,-0.0003098019
-0.008748782,0.008693473,-0.002165918
-0.005125361,-0.004989871,-0.002089067
-0.005582147,-0.006815979,0.00817893
-0.007595304,-0.01327557,0.009018595
-0.007954422,-0.01416308,0.006727649
-0.006539234,-0.009387144,0.00634302
-0.002977792,-0.01579056,0.004818881
-0.002894755,-0.0119667,0.004874017
-0.005831264,-0.008653317,0.002829001
-0.006010978,-0.009898454,0.002891484
-0.004729751,-0.009771764,0.005971245
0.0005019468,-0.01642239,0.007259963
0.006670231,-0.01421603,0.004859651
0.00132782,-0.01016517,0.001417223
-0.005198651,-0.01184766,0.003079864
-0.0003535298,-0.008889714,0.00462253
0.00152226,-0.00851432,0.005018331
-0.001608639,-0.006129996,0.007692029
-0.0004614773,-0.001205755,0.006468203
-0.002746584,-0.002528673,0.003381517
-0.006535513,-0.002177877,0.001015201
-0.005171363,0.00112192,-0.0009382588
-0.004628473,0.001728358,0.004726565
-0.003752586,0.002325356,0.01098477
-0.001618837,0.004111348,0.007560237
-0.001780596,0.002944938,0.005358899
-0.002346644,0.0002634262,0.007700425
-0.001978969,-8.788247e-05,0.00609796
-0.0009828825,0.001890222,0.004061161
-0.0008087296,0.004990745,0.003357834
-0.002858542,0.004634187,0.002123686
-0.004751163,0.002889906,0.002588793
-0.002078584,0.002699269,0.0008079682
0.0007869563,0.001691583,-0.002430136
-0.003280562,0.003842185,-0.001865366
-0.006953329,0.00685092,-0.001217445
-0.005102018,0.00801706,-0.002835454
-0.003038435,0.0098678,-0.004349082
-0.002737851,0.008168938,-0.0045747
-0.002775598,0.004218288,-0.005049051
-0.001745685,3.506545e-05,-0.005987409
-0.002071711,-0.002683605,-0.006965338
-0.003219571,-0.0008890799,-0.007824466
-0.002606718,-0.00210569,-0.001537734
-0.003314509,-0.004008897,0.006033178
-0.003474772,0.000928339,0.001823817
-0.002941201,0.00651255,-0.003876672
-0.004831324,0.01094551,-0.003329988
-0.004789859,0.01436324,-0.0004693825
-0.003704347,0.01126192,0.003536138
-0.004806082,0.007359136,0.001548345
-0.006259819,0.0123206,-0.003355963
-0.00898705,0.01649895,-0.00324503
-0.01037052,0.01258293,-0.004256012
-0.006911365,0.01150341,-0.004733678
-0.004282577,0.01281934,-0.002729735
-0.004999101,0.01168302,-0.003090069
-0.003099807,0.009853124,-0.001612192
0.000279237,0.002857037,-0.001318049
-0.0002367785,-0.00237087,-0.006305225
-0.0008198422,0.004654052,-0.009727101
0.0009742625,0.01126833,-0.008086761
0.002677734,0.006384471,-0.004327546
0.004874408,0.002531391,-0.003823002
0.004394312,0.005133685,-0.002254851
0.001558505,0.003797898,0.002209283
0.001429137,0.0001430537,0.002273109
-0.0002659972,-0.0009089593,-8.171756e-05
-0.00383774,0.001954834,-0.002274215
-0.005086726,0.007880188,-0.001700964
-0.003733559,0.008295753,-2.547823e-05
-0.0003894541,0.005364413,-0.002071434
-0.001251728,0.004117171,-0.002344225
-0.002356464,0.003705929,-0.002287353
0.0005780398,0.004907182,-0.002364859
-7.27748e-05,0.003922434,1.231364e-06
0.0005941183,0.001641661,0.0001268219
0.002600327,0.0002097801,-0.0003128789
0.001337871,0.0001229919,-0.003082674
0.003247118,0.002529443,-0.006522083
0.005244354,0.003201335,-0.004480054
0.004246641,0.004058736,-0.002304852
0.0008205731,0.006849699,-0.001065858
-0.003485269,0.008096089,-0.001915801
-0.001884782,0.005410006,-0.004683944
0.001587354,0.001198545,-0.003814943
0.003468035,0.002945082,-0.005378573
0.005402115,0.00419219,-0.007863244
0.002967893,0.002200142,-0.003118523
-0.0005511465,0.004393777,0.0008972486
-0.0004244631,0.004967673,-0.001189343
-0.0004672635,0.002651877,-0.004239573
0.001058641,-0.00250282,-0.005813124
0.004789416,-0.007747496,-0.005530923
0.004318513,0.0006745831,-0.003966058
0.002841572,0.009936044,-0.003669051
0.002987073,0.003957473,-0.003659363
0.0007304405,0.0009817356,-0.004285856
0.0003189692,0.007467028,-0.00959296
0.00133459,0.009374382,-0.01321143
-0.000676608,0.008623843,-0.007500435
-0.00203133,0.008067131,-0.001172199
-0.002194893,0.005891586,-0.00336342
-0.002239725,0.007475965,-0.006505277
-0.002497097,0.009824589,-0.004564062
-0.003747297,0.009533776,-0.00180408
-0.002959164,0.007342592,0.002387964
-9.126357e-05,0.002705371,0.003473555
0.001816989,0.001944532,0.001170755
0.00132536,0.001925288,0.004417731
7.618455e-05,-0.002144251,0.004550274
0.001112997,-0.003164057,0.001748577
0.003125311,-0.002563328,0.004324312
0.004691191,-0.004100516,0.004346502
0.004611978,-0.006014546,0.003219153
0.003711623,-0.00712217,0.003427412
0.006839578,-0.005873487,0.001461715
0.009793723,-0.001726536,0.002596061
0.009130968,0.002454989,0.009585268
0.01099242,-0.001795862,0.0133107
0.01288982,-0.008822079,0.008183937
0.01096322,-0.005464566,0.006771499
0.009340347,-0.0006827333,0.01221835
0.005984697,0.002129169,0.0144863
0.001645358,0.004572382,0.01391873
0.004008242,-0.002985672,0.01265373
0.008080467,-0.01014554,0.01266426
0.009282644,-0.008806177,0.01382003
0.01017637,-0.007991463,0.01634206
0.00710232,-0.005782818,0.01913675
0.005015629,-0.003482984,0.01523202
0.008543867,-0.008455594,0.01295275
0.0107472,-0.017163,0.0168493
0.01110459,-0.01986703,0.01845728
0.01090825,-0.01807592,0.02009124
0.01006504,-0.02253519,0.0215879
0.008451086,-0.03058203,0.02156903
0.007052174,-0.03392286,0.02184725
0.009471481,-0.03227825,0.02204626
0.01025739,-0.02996301,0.02248921
0.008798606,-0.0288912,0.01860754
0.01167505,-0.02626804,0.01408431
0.01279605,-0.0232967,0.01461396
0.009036923,-0.0182689,0.01222112
0.007355076,-0.01217184,0.006279449
0.01036301,-0.01284853,0.001515586
0.01502039,-0.01214788,-0.005232708
0.01665395,-0.004337816,-0.01096962
0.01640222,-0.0009278914,-0.01098949
0.0156167,0.001257967,-0.01096316
0.01014983,0.01362109,-0.01113611
0.003428298,0.02786504,-0.00968666
-8.942329e-05,0.03428883,-0.01067641
-0.004100204,0.03565004,-0.01130566
-0.007100692,0.03217718,-0.01161282
-0.006880241,0.02885714,-0.01271057
-0.01055284,0.0362882,-0.01228548
-0.01640009,0.04209374,-0.01373286
-0.01517819,0.02963747,-0.01533796
-0.01195396,0.01817916,-0.01525595
-0.0103504,0.02286797,-0.01418031
-0.008336467,0.02310677,-0.01119524
-0.007770684,0.01324062,-0.009200521
-0.001700964,0.009260159,-0.008410115
0.006276261,0.009648076,-0.01034641
0.004592614,0.008752395,-0.01222082
0.001539524,0.01204942,-0.009443548
0.001564415,0.01585575,-0.008239412
0.0004324009,0.01066429,-0.007348022
0.001472002,0.001289499,-0.007506892
0.004402202,-0.002036445,-0.01132601
0.00483052,0.001386565,-0.01019396
0.0009452025,0.005212948,-0.01091617
-0.003806257,0.005173066,-0.01531018
-0.002874081,0.00516553,-0.01292938
-0.001835317,0.008798587,-0.01016938
-0.005287282,0.01247133,-0.007951529
-0.00440107,0.01341718,-0.007462777
-0.003153365,0.01215294,-0.01561009
-0.005252535,0.008666846,-0.02244564
-0.004270793,0.005123614,-0.0218367
-0.00606975,0.007446902,-0.01897077
-0.00848397,0.01177094,-0.01603078
-0.006126337,0.009712598,-0.01268906
-0.005429388,0.009167976,-0.01326582
-0.004953686,0.0115392,-0.01756314
-0.004693906,0.01070585,-0.01680217
-0.007328788,0.01281938,-0.01625073
-0.008298207,0.01185348,-0.01752423
-0.00391519,0.002243394,-0.01495485
0.001825391,-0.004131574,-0.01476157
0.002146734,-0.0018841,-0.01409161
0.002451014,0.001833588,-0.01134425
0.00432648,-0.0008586503,-0.00925321
0.002566639,-0.0005104788,-0.007574352
0.003198149,0.007620414,-0.01100836
0.003870012,0.01337311,-0.01514505
0.001172894,0.01574112,-0.01849889
0.001168772,0.01078085,-0.01828183
0.001030619,0.001117745,-0.01350799
0.0001014236,-0.002177469,-0.01454431
-0.0006740695,0.006147371,-0.01205021
-0.002166426,0.01787462,-0.007284691
-0.001774148,0.01064324,-0.009834429
-0.002122328,0.003144532,-0.008732404
-0.001852443,0.01192796,-0.007450947
-0.0008427742,0.01096119,-0.007773044
-0.002419999,0.008628428,-0.006632297
-0.0024924,0.01068777,-0.008606664
-0.002787457,0.006294586,-0.008832549
-0.003504706,0.006800618,-0.008708477
-0.001896508,0.008097031,-0.008823998
-0.001185496,0.007551317,-0.006785568
-0.001060981,0.006352092,-0.003991165
-0.001932093,0.0006882201,0.0007444964
-0.0003221815,-0.002129565,9.102153e-05
0.004551383,-0.004953316,-0.002135756
0.004559085,-0.006678286,-0.0006093808
0.001880956,-0.003084043,-0.007081451
-0.001346021,0.0006265621,-0.01443043
-0.003482268,0.003594106,-0.01281907
-0.002567991,0.001236143,-0.01085341
-0.005380196,-0.002120107,-0.009197225
-0.006669467,8.500944e-05,-0.005660242
-0.003912451,0.0004953761,-0.005007795
-0.003891804,0.00128905,-0.005744831
-0.003139243,0.004760632,-0.003844695
-0.002293426,0.003813281,-0.00344407
-0.002236835,0.0009910438,-0.00457121
-0.001665283,0.001234372,-0.004745837
-0.001854668,0.001901329,-0.006628215
-0.0001967194,0.001683772,-0.006662581
0.002543119,0.002109676,-0.005376953
0.00525136,0.00252826,-0.005042452
0.005614562,0.002903687,-0.002783138
0.003791102,0.002912295,-0.003941205
0.00391729,-0.0007848026,-0.007182859
0.001429642,-0.004708284,-0.006549634
-0.00241105,-0.001559659,-0.005440119
-0.002917575,0.004511653,-0.005094421
-0.001910103,0.005517471,-0.003789405
