bodyx,bodyy,bodyz
0.02672913,0.06355361,-0.0141438
0.02477483,0.06173898,-0.01407904
0.02306502,0.05982144,-0.009729753
0.01621554,0.05928213,-0.009140803
0.007371428,0.05835831,-0.008145433
0.009189604,0.06071617,-0.003782973
0.01327966,0.06124543,-0.002468958
0.01085242,0.05587584,-0.003563483
0.009138417,0.05076128,-0.005779674
0.007652224,0.04979465,-0.006810998
0.004640375,0.04884746,-0.0102822
0.002955018,0.04696279,-0.01609311
-0.001869094,0.04950029,-0.01509983
-0.006196808,0.05134098,-0.01033773
-0.004166717,0.04806732,-0.00669497
-0.0006336943,0.04378495,-0.005841489
0.008903393,0.04119528,-0.007046781
0.02590296,0.04387227,-0.003005996
0.03779899,0.04742823,5.646763e-05
0.03933197,0.04490643,-0.003216023
0.03669449,0.0430007,-0.002955564
0.03673227,0.04808033,-0.004402681
0.03644251,0.05569117,-0.010699
0.03213324,0.06058234,-0.01151464
0.02654938,0.05912882,-0.01313538
0.0211944,0.05253525,-0.01454645
0.01749277,0.04811237,-0.009859813
0.01382505,0.0455302,-0.007834717
0.01123515,0.04327015,-0.006213393
0.01573576,0.04417398,-0.007547061
0.02078463,0.04421426,-0.0123105
0.01797705,0.04097663,-0.009746434
0.01287659,0.03690321,-0.01019796
0.006692731,0.03430461,-0.01635454
-0.003048895,0.0336829,-0.01897944
-0.01436781,0.03356283,-0.02077403
-0.03495938,0.03341928,-0.02457274
-0.06202672,0.02963049,-0.03451989
-0.08508389,0.02518084,-0.04041538
-0.1065853,0.02519217,-0.03316574
-0.1109967,0.02237212,-0.02825782
-0.09951195,0.017269,-0.02860798
-0.09675272,0.01756573,-0.02940717
-0.09390686,0.02032224,-0.03483083
-0.08892541,0.02223548,-0.04032231
-0.08186311,0.02180607,-0.04133809
-0.06791256,0.017574,-0.04124636
-0.06622585,0.01690128,-0.03987579
-0.06608926,0.02117191,-0.03413572
-0.0618305,0.02043124,-0.02754476
-0.0663172,0.01451154,-0.02142793
-0.06270687,0.009216559,-0.01603655
-0.05793602,0.009544075,-0.01423698
-0.05958331,0.0131522,-0.009536192
-0.054292,0.01225793,-0.006648826
-0.04928901,0.01272168,-0.01307788
-0.0416929,0.01361371,-0.01790701
-0.03091853,0.009815429,-0.01648732
-0.02878954,0.008570607,-0.01071025
-0.02607803,0.008837578,-0.004349417
-0.01247797,0.00803789,0.002655501
0.004637678,0.005658866,0.01145677
0.01529509,0.003183109,0.01371561
0.02121772,0.003176307,0.01285074
