bodyx,bodyy,bodyz
0.100242,0.2156219,0.3154295
0.008503451,0.1391817,0.4115987
-0.1525264,0.06716759,0.4982341
-0.2951389,0.04910887,0.4981643
-0.3522726,0.04804018,0.4085116
-0.4254719,0.003153315,0.3080552
-0.4874815,0.02519491,0.1879665
-0.4752286,0.0886398,0.09176018
-0.4185771,0.06005652,0.04107323
-0.4058273,-0.04168356,-0.006992885
-0.4328746,-0.124615,0.005872173
-0.4337967,0.0798864,0.04278308
-0.435025,0.3885814,0.05080311
-0.4126143,0.3648274,0.06237542
-0.3918086,0.2944322,0.04745426
-0.3861866,0.3237669,0.0609161
-0.3122885,0.1576756,0.1808942
-0.1188466,-0.09136769,0.4237642
0.2137287,-0.1340765,0.6655351
0.3888658,0.1808486,0.676458
0.193918,0.6906421,0.5749798
-0.05149943,0.8293038,0.4626615
-0.227848,0.3581101,0.1901889
-0.4465375,-0.2151951,-0.0381336
-0.5100935,-0.3261262,-0.04578519
-0.3249941,-0.1270524,-0.03395317
-0.1275321,0.001031899,-0.1003973
-0.05539152,0.05477937,-0.2287749
-0.07801833,-0.09573533,-0.3535893
-0.08883451,-0.4309455,-0.3616021
-0.05685739,-0.550323,-0.2827882
-0.05978419,-0.524777,-0.1876549
-0.02416391,-0.4843309,-0.1025269
0.04394305,-0.2783767,-0.07297408
0.06752468,-0.0717312,-0.09363118
0.1171868,-0.009609644,-0.09622001
0.1760563,-0.03266198,-0.05235647
0.2430597,-0.07246937,0.01589196
0.2973154,-0.08961813,0.08806667
0.2776821,-0.109531,0.1049611
0.2433843,-0.01381063,0.05673437
0.1763799,0.1681687,0.0254221
0.1170419,0.2627614,-0.01427847
0.1195956,0.2935217,-0.1644104
0.06938345,0.2139974,-0.4261702
-0.05339349,0.1172162,-0.5845563
-0.176012,0.1034588,-0.481455
-0.2543409,-0.1131482,-0.3517842
-0.3499953,-0.3419828,-0.3266724
-0.4473612,-0.04187038,-0.3779009
-0.3830728,0.270167,-0.5749548
-0.3193572,-0.03595242,-0.6754482
-0.3490816,-0.2440994,-0.5406246
-0.2102813,0.004552253,-0.2998114
0.04862803,0.2141633,0.117211
0.2370416,0.458257,0.4705347
0.2535792,0.5862255,0.4714344
0.07740564,0.4118087,0.4017805
-0.09799697,0.2966453,0.4318222
-0.2258881,0.07556555,0.4346553
-0.3146402,-0.12586,0.467676
-0.3899798,-0.01230604,0.5481922
-0.5543981,-0.04182335,0.5136418
-0.6851232,-0.08820565,0.4257821
-0.7721129,0.07178956,0.3542417
-0.8205555,0.0935103,0.2395171
-0.7330267,-0.0002953078,0.1752312
-0.6249767,-0.1874829,0.1081065
-0.4994604,-0.3235487,0.01772203
-0.3395253,-0.137727,0.03583092
-0.2339774,0.1022116,0.0462342
-0.191376,0.261539,0.03034512
-0.1977445,0.4431608,0.05690267
-0.174822,0.4991816,0.09219913
-0.1606236,0.3407128,0.2102951
-0.1264602,0.1145472,0.4007871
0.1358472,-0.05034858,0.5675122
0.3772499,-0.05165892,0.6314164
0.2248561,0.2818257,0.5910533
-0.003873734,0.608203,0.5066326
-0.0443627,0.4131568,0.2894418
-0.2116096,0.04565719,0.007748847
-0.3400478,-0.1798692,-0.164396
-0.1920328,-0.4033205,-0.2578569
-0.1516056,-0.3874919,-0.2631467
-0.1289024,-0.1904325,-0.2465362
-0.03401692,-0.1675023,-0.2745941
-0.08527797,-0.2350547,-0.2450462
-0.06222222,-0.3856647,-0.2029155
-0.01141774,-0.4892586,-0.1662499
0.02107255,-0.4120852,-0.09287065
0.1571706,-0.3322701,-0.06514093
0.2123186,-0.1518319,-0.07144661
0.2553854,-0.03013779,-0.05207339
0.3085158,-0.1124236,0.00685994
0.3122604,-0.1068177,0.09108815
0.3307965,-0.1043557,0.1401145
0.2758263,-0.1468892,0.1393046
0.2304037,-0.1010987,0.1128928
0.2331321,0.0003772015,0.04147931
0.2614146,0.1531258,-0.1484036
0.3259428,0.2177474,-0.4041627
0.2750592,0.1346,-0.5294249
0.145495,0.01819605,-0.5072834
-0.08976899,-0.1305259,-0.4693679
-0.3948615,-0.2465578,-0.4479238
-0.4229813,-0.1556349,-0.4629037
-0.2850734,-0.07226928,-0.549119
-0.2633708,-0.2636753,-0.5926616
-0.2630187,-0.3523195,-0.4484129
-0.1640616,-0.07021347,-0.1400824
0.06611616,0.3156765,0.1941072
0.3001564,0.4676261,0.4164061
0.3185276,0.3057695,0.4814725
0.1329609,0.2159843,0.4543892
-0.06273957,0.2863553,0.4279767
-0.1375121,0.205788,0.429851
-0.1670002,0.06867533,0.4474664
-0.2934063,-0.01213332,0.4610531
-0.4482057,-0.101379,0.3904512
-0.5170482,-0.1235718,0.2557584
-0.5506274,-0.05187558,0.1664838
-0.5657972,0.02357015,0.0904446
-0.4964159,0.002812906,0.01250528
-0.4009127,-0.09153995,-0.02560757
-0.397667,-0.1149458,-0.05183063
-0.4170694,0.03393553,-0.06690666
-0.3573187,0.2536569,-0.08781526
-0.2707089,0.2846322,-0.1378831
-0.1845936,0.2076362,-0.157807
-0.07138813,0.2139081,-0.06359844
0.1833925,0.1222444,0.2070314
0.6030921,0.011626,0.5316175
0.7950583,0.1695707,0.638639
0.5720377,0.57863,0.5065621
0.3017949,0.8989803,0.3530686
0.1577227,0.5243169,0.2073184
0.01944431,-0.214479,0.03451165
-0.07326621,-0.4142194,-0.009870373
-0.02504087,-0.3312408,0.01528085
0.1067955,-0.201775,-0.04291739
0.2050864,0.03805647,-0.1353428
0.2504084,-0.04822732,-0.2964344
0.2872468,-0.2752517,-0.4065869
0.3078674,-0.4447527,-0.3579676
0.309728,-0.6515319,-0.3182068
0.3416378,-0.57103,-0.2436688
0.4211278,-0.3864154,-0.1537993
0.4698108,-0.2501177,-0.1453305
0.4463623,-0.103957,-0.09226703
0.441634,-0.2160729,-0.02214691
0.4552248,-0.2780883,0.04774367
0.4272257,-0.1784052,0.1425691
0.3681051,-0.1931423,0.1631381
0.2655094,-0.120809,0.1472799
0.1835723,-0.02416654,0.1122406
0.1731761,-0.0102609,-0.03761333
0.158377,0.01803648,-0.3000807
0.09529808,-0.01314153,-0.4964904
-0.02774054,-0.04569782,-0.4764887
-0.1613166,-0.1056849,-0.378465
-0.2643671,-0.1964846,-0.34745
-0.3517214,-0.1675883,-0.4061929
-0.3270876,-0.04592679,-0.5268463
-0.2368721,0.04730241,-0.5975225
-0.2423569,-0.09286413,-0.6090085
-0.2353894,-0.2813983,-0.4563622
-0.1238214,-0.1762976,-0.06099873
0.07394377,-0.0790389,0.2819072
0.2391891,-0.0857955,0.4027191
0.1622111,-0.01608764,0.3669621
0.03789021,-0.004457242,0.3019023
-0.008866494,0.01913507,0.3258812
-0.1172606,0.04233473,0.3774064
-0.1602556,-0.06020482,0.4678786
-0.2402275,-0.1015297,0.5191765
-0.3963162,-0.006175557,0.4124477
-0.4237707,0.2026932,0.2830199
-0.4604723,0.3585559,0.1079497
-0.4294129,0.2451439,-0.06996025
