bodyx,bodyy,bodyz
-0.02127543,0.4780523,0.3675894
-0.08045609,0.3003305,0.4451545
-0.05904658,0.02658452,0.41667
-0.0595277,0.01050242,0.3064365
0.03323552,0.01040101,0.1692087
0.3512032,-0.01143993,0.001751362
0.5825171,0.08865707,-0.1505106
0.696453,0.1193701,-0.2878019
0.8453619,0.1246138,-0.3333166
0.9260543,0.05341466,-0.2885773
0.83723,-0.1472797,-0.2582354
0.477968,-0.3557454,-0.07172335
0.1557055,-0.4878595,0.1975684
0.2709663,-0.6036951,0.2729327
0.4975075,-0.8134232,0.2594714
0.5342502,-0.9343052,0.2524087
0.6156368,-0.9958402,0.1923931
0.7622432,-1.157632,0.04354593
0.8772393,-1.305747,-0.1135821
0.990465,-1.344105,-0.1338893
1.006567,-1.222305,-0.09746009
1.070784,-1.101622,-0.1186797
1.084041,-1.060461,-0.1343793
0.8375947,-1.122538,-0.09403038
0.6364516,-1.280106,-0.03509817
0.3886619,-1.22186,-0.01091142
0.2252022,-1.07484,-0.09394728
0.3454712,-0.8848911,-0.2599858
0.3228799,-0.5796464,-0.3534594
0.3448282,-0.532289,-0.3752808
0.4409236,-0.5399952,-0.3653653
0.3835033,-0.4416863,-0.2963474
0.3523997,-0.4274144,-0.210253
0.2392421,-0.3918709,-0.09653511
0.1243885,-0.4466184,0.003878121
0.05524002,-0.5222289,0.06262775
-0.01334125,-0.4400094,0.1107026
-0.03019938,-0.3482604,0.1007548
-0.2559765,-0.2479876,0.1081989
-0.4340924,-0.1655494,0.1617719
-0.3121082,-0.1573284,0.2789297
-0.2083348,-0.1422596,0.5520704
-0.1664598,-0.1264151,0.657406
-0.1333161,-0.05072995,0.3539604
0.01413807,0.2953797,0.1047073
0.3199562,0.8251521,0.2081977
0.5087797,1.100293,0.241042
0.5096869,1.17586,0.0201735
0.2315493,1.316109,-0.1733657
-0.2952508,1.285637,-0.3554247
-0.5475669,1.239616,-0.4024851
-0.5504631,1.365223,-0.1382031
-0.5800996,1.3316,0.1053889
-0.3001059,1.260167,0.1918194
0.09919291,1.225626,0.1877271
0.144793,1.149912,0.1415309
-0.005797934,1.14287,0.1260495
-0.1900865,1.02958,0.07694763
-0.3214334,0.9304448,0.08968172
-0.3685267,0.8699549,0.1834969
-0.3515429,0.6147394,0.2799971
-0.3151073,0.3891785,0.3616102
-0.3113758,0.2527667,0.3232342
-0.1799619,0.1664315,0.2763814
-0.01373093,0.07665883,0.2424601
0.1348737,-0.05918639,0.1639338
0.3229222,-0.04536355,0.09592
0.3712607,-0.02644566,-0.06430098
0.463228,-0.037356,-0.2004291
0.6351481,0.002871808,-0.2616872
0.6469098,-0.0482075,-0.3497546
0.5542466,-0.1371288,-0.3011428
0.3888491,-0.2674937,-0.1129995
0.2776763,-0.319615,0.1369986
0.31326,-0.2754295,0.309287
0.3185559,-0.4476923,0.2551606
0.266995,-0.7290082,0.2162324
0.3149917,-0.920792,0.1889255
0.4750145,-1.057061,-0.002090923
0.6112511,-1.141076,-0.1600268
0.6831378,-1.087413,-0.1970511
0.735936,-0.9470928,-0.1651873
0.8009588,-0.9631798,-0.1647317
0.7621918,-0.9493786,-0.3138144
0.57873,-0.8727632,-0.4224219
0.3888332,-1.002345,-0.3417703
0.135875,-1.047313,-0.2370973
-0.04538802,-0.9607229,-0.2400375
0.003530357,-0.8706165,-0.2698442
0.1288934,-0.6548814,-0.2741283
0.3525239,-0.5287677,-0.2950754
0.5314508,-0.5296554,-0.2370894
0.5207639,-0.5164171,-0.08540819
0.4845697,-0.4894207,0.03179548
0.3779438,-0.4304328,0.06553966
0.1593232,-0.402681,0.05823437
-0.01920105,-0.3443234,0.1015429
-0.0811513,-0.2638495,0.1370918
-0.130106,-0.2547243,0.1616926
-0.1896309,-0.2756806,0.2265327
-0.1721313,-0.3581897,0.249088
-0.1327034,-0.4196035,0.2801315
-0.04294275,-0.3528455,0.2854059
0.02177896,-0.2811965,0.2291683
-0.05580119,-0.2822381,0.1489909
-0.05976397,-0.1828399,0.02716215
0.1121932,0.09557936,0.1035017
0.4250248,0.4054038,0.276007
0.7281335,0.8889939,0.2290356
0.7106747,1.483877,0.07655094
0.3195155,1.593122,-0.1720132
-0.2773917,1.356016,-0.3938391
-0.6922666,1.388115,-0.4190196
-0.7176937,1.514697,-0.3654784
-0.6945332,1.503521,-0.1735816
-0.5946392,1.477992,0.05196473
-0.2361151,1.374166,0.114154
-0.03597358,1.280357,0.1279
-0.08771047,1.192621,0.142825
-0.1782933,1.02815,0.1408976
-0.3431442,0.9909935,0.1394675
-0.3922405,0.9105598,0.1888403
-0.3251806,0.726949,0.288634
-0.344234,0.6128191,0.3656425
-0.3070145,0.4248703,0.4093011
-0.2232057,0.2729201,0.3660138
-0.1642247,0.204967,0.2916973
-0.04574344,0.1100185,0.2465178
0.125085,0.02238853,0.1366289
0.3015756,-0.09514799,0.01482109
0.3772378,-0.1636105,-0.0644362
0.4059323,-0.2163001,-0.09428082
0.4854566,-0.3012591,-0.05232154
0.5375285,-0.3602041,-0.02352051
0.5795044,-0.4827958,-0.03048839
0.5270496,-0.6266264,-0.02898184
0.2751889,-0.6850842,-0.007474893
