time,ax,ay,az,atotal
0.000,-0.15,0.12,0.42,0.46
0.010,-0.07,0.26,0.04,0.27
0.020,0.01,0.27,-0.36,0.45
0.030,0.11,0.20,-0.66,0.70
0.040,0.32,0.15,-0.84,0.91
0.050,0.48,0.11,-0.92,1.05
0.060,0.49,0.02,-0.89,1.02
0.070,0.50,-0.07,-0.84,0.98
0.080,0.57,-0.10,-0.88,1.05
0.090,0.45,0.06,-0.84,0.95
0.100,0.12,0.20,-0.62,0.67
0.110,-0.12,0.32,-0.28,0.44
0.120,-0.20,0.33,-0.16,0.42
0.130,-0.20,0.37,-0.42,0.59
0.140,-0.29,0.42,-0.80,0.95
0.150,-0.25,0.43,-1.19,1.29
0.160,-0.23,0.41,-1.52,1.59
0.170,-0.23,0.51,-1.68,1.77
0.180,-0.15,0.33,-1.46,1.51
0.190,-0.33,0.01,-0.91,0.97
0.200,-0.24,0.10,-0.54,0.60
0.210,-0.26,0.29,-0.64,0.75
0.220,-0.37,0.42,-0.66,0.86
0.230,-0.40,0.42,-0.48,0.76
0.240,-0.50,0.34,-0.27,0.66
0.250,-0.49,0.33,-0.12,0.60
0.260,-0.30,0.25,-0.45,0.60
0.270,-0.18,0.29,-0.81,0.88
0.280,-0.20,0.33,-0.72,0.81
0.290,-0.14,0.18,-0.07,0.24
0.300,0.00,-0.05,0.51,0.51
0.310,0.01,-0.27,0.30,0.41
0.320,-0.03,-0.21,-0.08,0.23
0.330,-0.03,-0.19,-0.54,0.57
0.340,-0.12,-0.15,-1.07,1.09
0.350,-0.12,-0.12,-1.30,1.31
0.360,-0.05,-0.13,-1.34,1.34
0.370,0.13,-0.16,-1.04,1.06
0.380,0.12,-0.14,-0.56,0.59
0.391,-0.07,-0.03,-0.16,0.18
0.400,-0.17,-0.02,0.13,0.21
0.410,-0.31,-0.08,0.37,0.49
0.420,-0.41,-0.08,0.40,0.58
0.430,-0.40,0.02,0.22,0.46
0.440,-0.28,0.27,-0.02,0.39
0.450,-0.12,0.52,-0.09,0.54
0.460,0.14,0.51,0.17,0.55
0.470,0.64,0.36,0.78,1.07
0.480,1.03,0.22,2.19,2.43
0.490,0.97,0.17,3.32,3.47
0.500,0.65,0.19,3.89,3.95
0.510,0.23,0.16,3.91,3.92
0.520,-0.22,0.20,3.08,3.10
0.530,-0.28,0.33,1.85,1.90
0.540,0.00,0.30,0.82,0.87
0.550,0.08,0.23,0.07,0.25
0.561,0.07,0.16,-0.40,0.44
0.571,0.11,0.08,-0.56,0.57
0.581,0.11,-0.04,-0.58,0.59
0.591,0.08,-0.16,-0.51,0.54
0.601,0.10,-0.16,-0.26,0.32
0.611,0.15,-0.10,-0.06,0.19
0.621,0.11,0.00,-0.08,0.13
0.631,0.09,0.14,-0.08,0.19
0.641,0.05,0.24,-0.03,0.25
0.651,-0.10,0.33,0.18,0.39
0.661,-0.19,0.35,0.37,0.54
0.671,-0.22,0.32,0.48,0.62
0.681,-0.21,0.32,0.44,0.58
0.691,-0.08,0.36,0.96,1.03
0.701,0.25,0.36,1.92,1.97
0.711,-0.12,0.04,1.80,1.81
0.721,-0.28,-0.17,0.25,0.41
0.731,-0.19,-0.17,-0.64,0.69
0.741,-0.15,-0.07,-1.14,1.15
0.751,-0.20,0.06,-1.30,1.31
0.761,-0.23,0.17,-1.18,1.22
0.771,-0.15,0.25,-0.88,0.93
0.781,-0.03,0.29,-0.50,0.58
0.791,-0.03,0.25,-0.17,0.30
0.801,-0.03,0.19,0.08,0.21
0.811,-0.05,0.17,0.28,0.33
0.821,-0.16,0.24,0.18,0.34
0.831,-0.09,0.24,0.29,0.39
0.841,0.05,0.20,0.40,0.45
0.851,0.11,0.15,0.43,0.47
0.861,0.01,0.13,0.37,0.40
0.871,-0.12,0.14,0.25,0.31
0.881,-0.14,0.15,0.09,0.22
0.891,-0.16,0.18,-0.10,0.26
0.901,-0.14,0.20,-0.22,0.33
0.911,-0.11,0.20,-0.27,0.36
0.921,-0.08,0.22,-0.28,0.36
0.931,-0.05,0.22,-0.19,0.30
0.941,-0.02,0.20,-0.07,0.21
0.951,-0.01,0.18,0.05,0.19
0.961,-0.02,0.17,0.21,0.27
0.971,-0.03,0.16,0.33,0.37
0.981,0.06,0.14,0.28,0.32
0.991,0.13,0.14,0.13,0.23
1.001,0.10,0.15,0.02,0.18
1.011,0.04,0.15,-0.05,0.16
1.021,0.02,0.17,-0.10,0.20
1.031,-0.01,0.17,-0.08,0.19
1.041,-0.03,0.16,-0.06,0.18
1.051,-0.04,0.15,-0.03,0.16
1.061,-0.04,0.14,0.02,0.15
1.071,-0.06,0.13,0.07,0.16
1.081,-0.08,0.12,0.08,0.17
1.091,-0.07,0.10,0.05,0.13
1.101,-0.04,0.11,0.01,0.11
1.111,-0.05,0.08,-0.02,0.09
1.121,-0.06,0.08,-0.01,0.10
1.131,-0.08,0.12,0.01,0.15
1.141,-0.09,0.17,0.04,0.20
1.151,-0.09,0.18,0.07,0.22
1.161,-0.06,0.16,0.10,0.20
1.171,-0.01,0.17,0.13,0.21
1.181,0.03,0.18,0.13,0.23
1.191,0.04,0.17,0.11,0.20
1.201,0.04,0.18,0.05,0.19
1.211,0.06,0.15,-0.01,0.16
1.221,0.05,0.15,-0.05,0.17
1.231,0.02,0.16,-0.11,0.20
1.241,-0.02,0.18,-0.12,0.22
1.251,-0.07,0.21,-0.16,0.27
1.261,-0.14,0.23,-0.16,0.31
1.271,-0.16,0.17,-0.12,0.27
1.281,-0.16,0.08,-0.09,0.20
1.291,-0.12,-0.02,-0.02,0.13
1.301,-0.06,-0.08,0.00,0.10
1.311,0.01,-0.10,-0.03,0.11
1.321,0.02,-0.12,-0.05,0.13
1.331,0.02,-0.11,-0.03,0.12
1.341,0.01,-0.11,0.01,0.11
1.351,0.05,-0.10,0.05,0.12
1.361,0.05,-0.06,0.05,0.09
1.371,0.06,-0.02,0.04,0.08
1.381,0.04,-0.00,0.05,0.06
1.391,-0.01,0.02,0.05,0.05
1.401,-0.07,0.08,0.03,0.11
1.411,-0.11,0.13,0.02,0.17
1.421,-0.14,0.17,0.02,0.22
1.431,-0.12,0.17,0.06,0.22
1.441,-0.12,0.18,0.08,0.24
1.451,-0.12,0.19,0.06,0.24
1.461,-0.07,0.22,0.03,0.23
1.471,-0.02,0.22,0.01,0.22
1.481,-0.02,0.17,-0.02,0.17
1.491,-0.03,0.15,-0.06,0.16
1.501,-0.10,0.14,-0.10,0.20
1.511,-0.17,0.17,-0.08,0.25
1.521,-0.17,0.20,-0.05,0.27
1.531,-0.19,0.17,0.02,0.25
1.541,-0.22,0.17,0.05,0.28
1.551,-0.26,0.20,0.04,0.33
1.561,-0.26,0.26,-0.04,0.37
1.571,-0.22,0.33,-0.17,0.43
1.581,-0.17,0.38,-0.23,0.48
1.591,-0.09,0.37,-0.18,0.42
1.601,-0.05,0.34,-0.02,0.35
1.611,-0.06,0.28,0.18,0.34
1.621,-0.08,0.25,0.34,0.43
1.631,-0.01,0.22,0.31,0.38
1.641,0.10,0.17,0.17,0.26
1.651,0.17,0.11,0.05,0.21
1.661,0.23,0.09,-0.07,0.26
1.671,0.27,0.09,-0.15,0.32
1.682,0.26,0.08,-0.17,0.32
1.691,0.22,0.05,-0.11,0.25
1.702,0.16,0.04,-0.04,0.17
1.712,0.13,0.04,-0.02,0.14
1.722,0.13,0.04,-0.01,0.14
1.732,0.12,0.02,-0.02,0.13
1.742,0.06,0.02,0.00,0.07
1.752,0.02,0.05,0.02,0.06
1.762,0.00,0.10,0.03,0.10
1.772,-0.07,0.11,0.03,0.13
1.782,-0.06,0.11,0.02,0.13
1.792,-0.04,0.12,0.03,0.12
1.802,-0.02,0.13,0.06,0.15
1.812,0.03,0.13,0.02,0.14
1.822,0.10,0.15,-0.06,0.19
1.832,0.09,0.12,-0.06,0.16
1.842,-0.02,0.09,-0.01,0.09
1.852,-0.08,0.06,0.08,0.12
1.862,-0.08,0.06,0.16,0.19
1.872,-0.09,0.04,0.21,0.23
1.882,-0.16,0.05,0.21,0.27
1.892,-0.19,0.18,0.22,0.34
1.902,-0.08,0.47,0.31,0.57
