time,ax,ay,az,atotal
0.000,0.12,0.26,-0.16,0.33
0.010,-0.02,0.27,-0.22,0.35
0.020,0.03,0.17,-0.18,0.25
0.030,0.02,-0.01,-0.11,0.11
0.040,-0.01,-0.09,-0.02,0.09
0.050,-0.07,-0.07,0.05,0.11
0.060,-0.07,-0.06,0.03,0.10
0.070,-0.05,-0.06,-0.02,0.08
0.080,-0.08,-0.07,0.00,0.11
0.090,-0.09,-0.07,-0.03,0.12
0.100,-0.02,-0.08,-0.04,0.09
0.110,-0.02,-0.08,-0.08,0.11
0.120,-0.01,-0.07,-0.10,0.12
0.130,-0.03,-0.03,-0.10,0.11
0.140,-0.08,0.00,-0.11,0.14
0.150,-0.13,0.06,-0.08,0.17
0.160,-0.13,0.04,-0.08,0.16
0.170,-0.11,-0.05,-0.07,0.14
0.180,-0.05,-0.12,-0.08,0.16
0.190,-0.01,-0.08,-0.14,0.16
0.200,0.01,-0.01,-0.15,0.15
0.210,0.00,0.07,-0.17,0.19
0.220,0.00,0.12,-0.20,0.24
0.230,0.05,0.15,-0.17,0.23
0.240,0.11,0.10,-0.16,0.22
0.250,0.23,0.06,-0.15,0.28
0.260,0.30,0.05,-0.22,0.37
0.270,0.39,0.06,-0.26,0.47
0.280,0.46,-0.04,-0.30,0.55
0.290,0.43,-0.12,-0.30,0.54
0.300,0.22,-0.01,-0.42,0.48
0.310,0.21,0.11,-0.54,0.59
0.320,0.32,0.14,-0.55,0.65
0.330,0.39,0.20,-0.63,0.77
0.340,0.20,0.16,-0.70,0.74
0.350,0.24,0.03,-0.70,0.74
0.360,0.46,-0.09,-0.85,0.98
0.370,-0.05,-0.05,-0.53,0.54
0.380,-0.37,0.13,0.06,0.40
0.390,-0.15,0.21,0.16,0.31
0.400,-0.16,0.05,0.17,0.24
0.410,0.09,-0.20,0.36,0.43
0.420,0.37,-0.45,0.29,0.64
0.430,0.44,-0.64,0.17,0.80
0.440,0.45,-0.80,0.11,0.92
0.450,0.53,-0.71,0.12,0.89
0.460,0.36,-0.60,-0.00,0.70
0.470,0.12,-0.44,-0.01,0.46
0.480,-0.05,-0.14,0.11,0.19
0.490,-0.22,0.04,0.23,0.32
0.500,-0.34,-0.04,0.27,0.44
0.510,-0.23,-0.14,0.29,0.40
0.520,0.02,-0.28,0.24,0.37
0.530,0.07,-0.39,0.10,0.41
0.540,0.18,-0.37,0.09,0.42
0.550,0.26,-0.32,0.05,0.41
0.560,0.27,-0.33,0.04,0.43
0.570,0.37,-0.34,0.06,0.51
0.580,0.52,-0.36,0.02,0.63
0.590,0.65,-0.45,-0.01,0.79
0.600,0.67,-0.49,0.04,0.83
0.610,0.54,-0.48,0.19,0.75
0.620,-0.05,-0.28,0.32,0.42
0.630,-0.65,0.03,0.44,0.79
0.640,-0.66,0.08,0.48,0.82
0.650,-0.30,-0.12,0.50,0.59
0.660,0.03,-0.46,0.54,0.71
0.670,0.26,-0.89,0.55,1.08
0.680,0.60,-1.07,0.56,1.35
0.690,0.91,-1.03,0.50,1.47
0.700,1.03,-0.88,0.44,1.42
0.710,1.41,-0.69,0.30,1.60
0.720,1.59,-0.61,-0.00,1.70
0.730,1.05,-0.68,-0.45,1.33
0.740,-0.32,-0.81,-0.39,0.95
0.750,-0.94,-0.31,-0.03,0.99
0.760,-0.61,0.12,0.33,0.70
0.771,-0.65,0.45,0.63,1.01
0.780,-0.61,0.68,-0.72,1.17
0.791,0.38,0.52,-1.39,1.54
0.800,0.89,0.43,-1.33,1.66
0.811,1.19,-0.06,-1.15,1.65
0.820,0.99,-0.36,-0.73,1.29
0.831,0.45,-0.51,-0.39,0.79
0.841,-0.14,-0.63,0.05,0.65
0.850,-0.62,-0.86,0.30,1.10
0.860,-1.24,-0.97,0.72,1.74
0.870,-1.99,-0.97,0.96,2.41
0.881,-1.27,-0.49,0.98,1.68
0.891,-0.05,0.04,0.65,0.65
0.901,0.23,0.34,0.32,0.52
0.911,0.07,0.35,-0.05,0.36
0.921,0.33,0.22,-0.40,0.56
0.931,0.64,0.09,-0.49,0.81
0.941,0.58,-0.04,-0.53,0.79
0.951,0.61,-0.09,-0.69,0.92
0.960,0.34,-0.20,-0.39,0.56
0.971,-0.21,-0.27,0.10,0.36
0.981,-0.13,-0.21,0.63,0.68
0.991,0.14,-0.11,0.91,0.93
1.001,0.08,-0.24,0.92,0.96
1.011,-0.18,-0.37,0.87,0.96
1.021,-0.32,-0.29,0.77,0.88
1.031,-0.26,-0.13,0.58,0.65
1.041,-0.30,0.04,-0.03,0.30
1.051,-0.45,0.15,-0.75,0.89
1.061,-0.44,0.17,-1.10,1.20
1.071,-0.51,0.15,-0.86,1.01
1.081,-0.44,0.40,-0.37,0.70
1.091,-0.08,0.41,0.02,0.42
1.101,-0.02,0.27,0.30,0.40
1.111,-0.07,0.14,0.39,0.42
1.121,-0.18,0.10,0.32,0.38
1.131,-0.23,0.38,0.31,0.54
1.141,-0.42,0.77,0.40,0.96
1.151,-0.48,0.95,0.54,1.19
1.161,-0.12,0.84,0.68,1.09
1.171,0.01,0.65,0.95,1.15
1.181,-0.33,0.52,1.30,1.44
1.191,-0.72,0.47,1.57,1.79
1.201,-0.76,0.62,1.56,1.84
1.211,-0.82,0.65,1.35,1.71
1.221,-1.02,0.66,1.03,1.60
1.231,-1.11,0.90,0.63,1.56
1.241,-0.86,1.00,0.30,1.35
1.251,-0.48,0.78,0.21,0.93
1.261,-0.28,0.40,0.43,0.65
1.271,0.02,0.09,0.87,0.87
1.281,0.34,-0.07,1.17,1.22
1.291,0.58,-0.12,1.23,1.37
1.301,0.75,-0.03,1.22,1.43
1.311,0.82,0.27,0.90,1.25
1.321,0.68,0.51,0.45,0.96
1.331,0.58,0.64,0.19,0.88
1.341,0.54,0.57,0.35,0.86
1.351,0.40,0.51,0.74,0.99
1.361,-0.04,0.36,1.15,1.21
1.371,-0.34,0.28,1.45,1.52
1.381,-0.50,0.25,1.48,1.58
1.391,-0.88,0.20,1.36,1.63
1.401,-1.42,0.24,1.09,1.81
1.411,-1.51,0.51,0.75,1.76
1.421,-1.56,0.79,0.51,1.82
1.431,-1.92,0.85,0.35,2.13
1.441,-1.98,0.81,0.33,2.16
1.451,-1.69,0.73,0.56,1.92
1.461,-1.80,0.34,0.67,1.95
1.471,-1.86,0.02,0.59,1.95
1.481,-1.75,-0.05,0.39,1.79
1.491,-1.56,0.02,0.22,1.58
1.501,-1.40,0.15,0.35,1.46
1.511,-1.06,0.36,0.38,1.18
1.521,-0.95,0.42,0.36,1.10
1.531,-1.03,0.28,0.48,1.16
1.541,-0.96,0.11,0.66,1.16
1.551,-0.61,-0.07,0.70,0.93
1.561,-0.27,-0.21,0.54,0.64
1.571,0.00,-0.31,0.43,0.53
1.581,0.38,-0.15,0.59,0.72
1.591,0.82,0.18,0.77,1.14
1.601,1.08,0.44,0.87,1.46
1.611,1.14,0.49,1.10,1.66
1.621,1.14,0.33,1.17,1.67
1.631,1.40,0.23,0.97,1.72
1.641,1.44,0.34,0.73,1.64
1.651,1.23,0.46,0.38,1.37
1.661,1.08,0.54,0.14,1.22
1.671,0.79,0.56,0.11,0.97
1.681,0.19,0.37,0.33,0.53
1.691,-0.12,0.15,0.48,0.52
1.701,-0.22,0.34,0.63,0.75
1.711,-0.35,0.53,0.59,0.87
1.721,-0.60,0.59,0.65,1.06
1.731,-0.70,0.64,0.71,1.19
1.741,-0.80,0.56,0.74,1.22
1.751,-1.01,0.40,0.95,1.44
1.761,-0.83,0.23,1.17,1.45
1.771,-0.41,0.04,1.11,1.18
1.781,-0.18,0.12,0.94,0.96
1.791,-0.21,0.41,0.74,0.87
1.801,-0.25,0.59,0.47,0.80
1.811,-0.21,0.63,0.25,0.71
1.821,-0.03,0.47,0.13,0.48
1.831,0.24,0.13,0.12,0.30
1.841,0.56,-0.05,0.20,0.60
1.851,0.85,-0.05,0.34,0.91
1.861,0.97,0.12,0.24,1.01
1.871,0.87,0.27,0.04,0.91
1.881,0.64,0.32,0.06,0.72
1.891,0.25,0.39,0.41,0.62
1.901,-0.17,0.47,0.98,1.10
1.911,-0.37,0.42,1.48,1.58
1.921,-0.40,0.09,1.61,1.66
1.931,0.10,0.15,1.53,1.54
1.941,0.30,0.44,1.08,1.20
1.951,0.23,0.59,0.44,0.78
1.961,0.47,0.64,0.11,0.80
1.971,0.50,0.53,0.15,0.75
1.981,0.23,0.44,0.32,0.59
1.991,0.10,0.32,0.36,0.49
2.001,-0.13,0.36,0.27,0.47
2.011,-0.42,0.40,0.16,0.60
