time,ax,ay,az,atotal
0.000,0.12,0.17,-0.18,0.27
0.010,0.14,0.19,-0.19,0.30
0.020,0.12,0.10,-0.14,0.21
0.030,0.04,0.01,-0.06,0.07
0.040,-0.04,0.02,-0.04,0.06
0.050,-0.03,0.08,-0.02,0.09
0.060,0.05,0.09,-0.01,0.10
0.070,0.06,0.05,0.03,0.08
0.080,0.08,0.00,0.01,0.09
0.090,0.04,0.03,-0.04,0.07
0.100,-0.02,0.04,0.00,0.04
0.110,-0.12,0.02,-0.07,0.14
0.120,0.08,-0.00,-0.05,0.09
0.130,0.07,-0.06,-0.09,0.13
0.140,-0.04,-0.09,-0.17,0.19
0.150,-0.03,-0.03,-0.12,0.12
0.160,0.01,-0.07,-0.05,0.09
0.170,0.07,-0.17,-0.01,0.18
0.180,0.08,-0.19,0.00,0.21
0.190,-0.01,-0.08,-0.05,0.09
0.200,-0.05,0.03,-0.09,0.11
0.210,0.14,0.13,-0.07,0.21
0.220,0.20,0.09,-0.14,0.26
0.230,0.10,-0.07,-0.10,0.16
0.240,0.21,-0.19,-0.07,0.30
0.250,0.19,-0.20,-0.31,0.42
0.260,0.15,0.08,-0.46,0.49
0.270,0.28,0.17,-0.44,0.55
0.280,0.54,0.18,-0.42,0.71
0.290,0.54,0.16,-0.52,0.77
0.300,0.21,0.05,-0.58,0.62
0.310,0.06,-0.05,-0.49,0.50
0.320,0.11,-0.14,-0.44,0.47
0.330,0.17,-0.20,-0.41,0.49
0.340,0.30,-0.25,-0.33,0.51
0.350,0.43,-0.18,-0.30,0.55
0.360,0.42,-0.10,-0.34,0.56
0.370,0.32,-0.07,-0.54,0.63
0.380,0.38,-0.11,-0.45,0.60
0.390,0.39,-0.22,-0.21,0.49
0.400,0.41,-0.34,-0.23,0.59
0.410,0.44,-0.51,-0.10,0.68
0.420,0.59,-0.64,-0.09,0.87
0.430,0.75,-0.70,-0.20,1.04
0.440,0.81,-0.63,-0.28,1.07
0.450,0.59,-0.47,-0.30,0.81
0.460,0.41,-0.40,-0.22,0.61
0.470,0.30,-0.47,-0.25,0.61
0.480,0.23,-0.55,-0.27,0.66
0.490,0.12,-0.75,-0.16,0.78
0.500,-0.13,-0.64,0.17,0.68
0.510,-0.73,-0.11,0.24,0.78
0.520,-0.78,0.19,0.22,0.83
0.530,-0.23,0.23,0.21,0.39
0.540,0.26,0.05,-0.01,0.27
0.550,0.66,-0.30,-0.06,0.73
0.560,1.29,-0.38,-0.09,1.35
0.570,1.36,-0.37,-0.21,1.43
0.580,1.05,-0.49,-0.38,1.22
0.590,0.39,-0.72,-0.38,0.91
0.600,-0.20,-0.69,-0.28,0.77
0.610,-0.53,-0.42,0.04,0.68
0.620,-0.69,-0.19,0.26,0.76
0.630,-0.71,-0.14,0.24,0.77
0.640,-0.56,-0.28,0.25,0.68
0.650,-0.24,-0.55,0.01,0.60
0.660,0.28,-0.79,-0.19,0.86
0.670,0.94,-0.81,-0.46,1.32
0.680,1.45,-0.67,-0.93,1.85
0.690,1.58,-0.49,-1.35,2.14
0.701,1.23,-0.37,-1.53,2.00
0.710,0.87,-0.36,-1.48,1.75
0.721,0.61,-0.43,-1.07,1.30
0.730,0.14,-0.45,-0.77,0.91
0.741,-0.12,-0.59,-0.62,0.86
0.750,-0.25,-0.67,-0.54,0.90
