time,ax,ay,az,atotal
0.000,-0.13,0.06,0.03,0.15
0.010,-0.02,0.06,0.02,0.07
0.020,0.01,0.04,0.03,0.05
0.030,-0.05,0.09,0.08,0.13
0.040,-0.12,0.13,0.09,0.20
0.050,-0.13,0.13,0.07,0.20
0.060,-0.17,0.17,0.05,0.24
0.070,-0.17,0.17,0.08,0.25
0.080,-0.13,0.11,0.09,0.19
0.090,-0.12,0.04,0.03,0.13
0.100,-0.09,-0.00,-0.02,0.10
0.110,-0.06,0.00,-0.05,0.08
0.120,-0.09,0.02,-0.02,0.09
0.130,-0.08,0.05,0.01,0.09
0.140,-0.12,0.09,0.04,0.15
0.150,-0.11,0.13,0.06,0.18
0.160,-0.12,0.13,0.06,0.18
0.170,-0.12,0.09,0.04,0.16
0.180,-0.06,0.07,-0.11,0.15
0.190,-0.07,-0.06,0.02,0.09
0.200,-0.18,-0.18,0.20,0.32
0.210,-0.27,-0.23,0.14,0.38
0.220,-0.27,-0.17,0.01,0.32
0.230,-0.17,-0.03,-0.18,0.25
0.240,-0.10,0.04,-0.17,0.20
0.250,-0.12,0.00,-0.01,0.12
0.260,-0.18,0.01,0.22,0.28
0.270,-0.18,0.06,0.34,0.39
0.280,-0.16,0.08,0.30,0.35
0.290,-0.09,0.06,0.17,0.20
0.300,-0.07,-0.00,0.11,0.13
0.310,-0.02,-0.06,0.14,0.16
0.320,0.01,-0.08,0.19,0.21
0.330,-0.04,-0.07,0.17,0.18
0.340,-0.12,0.03,0.11,0.16
0.350,-0.10,0.04,0.19,0.22
0.360,-0.18,-0.12,0.29,0.37
0.370,-0.25,-0.27,0.39,0.53
0.380,-0.24,-0.38,0.40,0.60
0.390,-0.23,-0.46,0.30,0.60
0.400,-0.23,-0.48,0.19,0.56
0.410,-0.08,-0.42,0.04,0.43
0.420,0.10,-0.32,0.01,0.33
0.430,0.15,-0.17,0.06,0.23
0.440,0.23,-0.03,0.04,0.23
0.450,0.15,-0.01,-0.00,0.15
