time,ax,ay,az,atotal
0.000,-0.24,0.09,-0.15,0.30
0.010,-0.42,0.20,-0.39,0.60
0.020,-0.38,-0.07,-0.28,0.47
0.030,-0.33,0.02,-0.29,0.44
0.040,-0.19,-0.03,-0.34,0.39
0.050,-0.29,-0.08,-0.40,0.50
0.060,-0.44,-0.08,-0.38,0.59
0.070,-0.41,-0.06,-0.31,0.52
0.080,-0.35,-0.04,-0.33,0.48
0.090,-0.36,-0.05,-0.30,0.47
0.100,-0.26,-0.08,-0.22,0.35
0.110,-0.10,-0.09,-0.14,0.19
0.120,0.11,-0.11,-0.09,0.18
0.130,0.16,-0.17,-0.04,0.24
0.140,0.08,-0.21,-0.01,0.23
0.150,-0.02,-0.24,-0.06,0.25
0.160,-0.13,-0.25,-0.09,0.30
0.170,-0.17,-0.22,-0.05,0.29
0.180,-0.18,-0.17,-0.02,0.25
0.190,-0.19,-0.14,-0.01,0.23
0.200,-0.16,-0.17,0.03,0.24
0.210,-0.15,-0.16,0.09,0.24
0.220,-0.22,-0.23,0.08,0.33
0.230,-0.24,-0.25,0.11,0.36
0.240,-0.18,-0.26,0.08,0.33
0.250,-0.11,-0.28,0.07,0.31
0.260,-0.05,-0.23,0.11,0.25
0.270,-0.17,-0.12,0.18,0.28
0.280,-0.25,-0.02,0.20,0.32
0.290,-0.30,0.04,0.16,0.34
0.300,-0.28,0.04,0.05,0.29
0.310,-0.35,0.08,0.01,0.36
0.320,-0.42,0.17,0.13,0.47
0.330,-0.54,0.26,0.25,0.65
0.340,-0.63,0.35,0.42,0.83
0.350,-0.60,0.52,0.54,0.96
0.360,-0.52,0.55,0.57,0.94
0.370,-0.37,0.54,0.56,0.86
0.380,-0.17,0.48,0.65,0.82
0.390,-0.04,0.44,0.88,0.98
0.400,0.13,0.14,1.04,1.05
0.410,0.22,-0.07,1.02,1.05
0.420,0.15,-0.23,0.72,0.77
0.430,0.13,-0.30,0.43,0.55
0.440,0.11,-0.23,0.43,0.50
0.451,0.22,-0.20,0.28,0.41
0.461,0.53,-0.07,0.20,0.57
0.470,0.60,-0.04,0.33,0.68
0.480,0.47,0.03,0.32,0.57
0.490,0.31,0.06,0.27,0.42
