time,ax,ay,az,atotal
0.000,0.04,-0.56,0.13,0.57
0.010,0.17,-0.42,0.14,0.47
0.020,0.12,-0.20,0.04,0.24
0.030,0.03,-0.02,-0.12,0.13
0.040,0.00,0.07,-0.23,0.24
0.050,-0.03,0.03,-0.21,0.22
0.060,-0.06,-0.11,-0.10,0.16
0.070,-0.11,-0.27,0.10,0.31
0.080,-0.16,-0.37,0.30,0.51
0.090,-0.23,-0.34,0.51,0.66
0.100,-0.24,-0.16,0.74,0.79
0.110,-0.26,0.05,0.93,0.97
0.120,-0.27,0.19,1.06,1.11
0.130,-0.29,0.23,1.02,1.08
0.140,-0.37,0.30,0.74,0.88
0.150,-0.40,0.28,0.41,0.64
0.160,-0.31,0.44,0.24,0.58
0.170,-0.22,0.72,0.11,0.76
0.180,-0.13,0.93,0.10,0.95
0.190,-0.05,1.01,0.12,1.01
0.200,-0.09,0.90,0.18,0.93
0.210,-0.24,0.76,0.21,0.82
0.220,-0.36,0.56,0.20,0.69
0.230,-0.35,0.37,0.24,0.56
0.240,-0.17,0.20,0.33,0.42
0.250,0.07,0.10,0.42,0.44
0.260,0.23,0.01,0.49,0.54
0.270,0.25,-0.06,0.53,0.59
0.280,0.20,-0.10,0.55,0.60
0.290,0.09,-0.05,0.55,0.56
0.300,-0.06,0.04,0.63,0.63
0.310,-0.17,0.12,0.80,0.83
0.320,-0.27,0.13,0.93,0.97
0.330,-0.39,0.03,1.04,1.11
0.340,-0.47,-0.09,1.06,1.16
0.350,-0.60,-0.18,1.04,1.21
0.360,-0.71,-0.27,1.10,1.34
0.370,-0.85,-0.32,1.18,1.49
0.380,-0.86,-0.34,1.23,1.54
0.390,-0.77,-0.37,1.26,1.52
0.401,-0.71,-0.40,1.24,1.48
0.410,-0.70,-0.45,1.08,1.36
0.420,-0.68,-0.44,0.92,1.22
0.430,-0.62,-0.30,0.82,1.07
0.440,-0.54,0.01,0.88,1.03
0.450,-0.55,0.40,0.99,1.20
0.461,-0.50,0.68,1.11,1.40
0.471,-0.57,0.73,1.14,1.47
0.481,-0.48,0.58,1.19,1.41
0.491,-0.41,0.28,1.10,1.21
0.500,-0.48,-0.08,1.09,1.19
0.511,-0.49,-0.30,1.24,1.37
0.521,-0.29,-0.44,1.44,1.54
0.531,-0.20,-0.54,1.60,1.70
0.540,-0.17,-0.54,1.70,1.79
0.550,-0.20,-0.47,1.79,1.86
0.561,-0.26,-0.40,1.84,1.90
0.570,-0.39,-0.35,1.83,1.90
0.580,-0.56,-0.27,1.76,1.87
0.591,-0.74,-0.13,1.77,1.93
0.600,-0.88,0.07,1.85,2.05
0.610,-0.71,0.19,1.92,2.06
0.621,-0.99,0.10,1.75,2.01
0.631,-1.28,0.03,1.82,2.23
0.641,-1.06,-0.04,1.81,2.10
0.651,-1.00,-0.22,1.61,1.91
0.661,-1.06,-0.35,1.63,1.97
0.670,-0.94,-0.39,1.94,2.19
0.680,-0.73,-0.40,2.14,2.29
